iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-2.5,-0.79,0.48,3.19,97.92,1.67,1.63
1961-01-02,-0.43,-0.07,0.55,0.42,98.13,1.7,1.61
1961-01-03,-0.61,1.43,3.13,0.0,94.09,2.12,4.06
1961-01-04,0.1,2.78,7.44,0.0,94.71,1.87,6.23
1961-01-05,-0.76,1.55,4.87,0.0,88.96,4.13,2.54
1961-01-06,-3.14,1.31,4.7,0.0,82.08,4.65,3.86
1961-01-07,-0.83,0.67,2.18,0.0,86.25,2.17,2.38
1961-01-08,-2.03,1.18,4.38,1.36,91.07,4.04,2.23
1961-01-09,-0.75,1.59,4.76,0.62,93.98,3.64,2.02
1961-01-10,-0.45,1.74,4.9,0.08,93.56,4.64,3.02
1961-01-11,1.22,1.91,2.84,0.0,89.33,1.82,2.66
1961-01-12,-3.05,-1.88,2.08,0.0,89.07,6.35,4.61
1961-01-13,-6.52,-3.25,1.41,0.0,75.61,6.28,1.69
1961-01-14,-4.51,-2.23,0.72,0.0,89.74,3.43,1.93
1961-01-15,-6.59,-0.68,3.16,0.0,88.82,4.54,1.97
1961-01-16,-6.41,-3.13,0.49,0.0,90.3,3.49,2.72
1961-01-17,-6.98,-3.53,1.32,0.0,74.58,6.27,3.43
1961-01-18,-11.43,-8.44,-4.4,0.04,71.84,6.75,4.21
1961-01-19,-13.1,-7.6,-1.61,0.03,74.39,6.46,2.1
1961-01-20,-13.42,-7.32,0.56,0.0,67.31,6.02,0.18
1961-01-21,-12.77,-6.91,-0.5,0.0,76.72,6.05,1.67
1961-01-22,-10.08,-3.64,-0.66,0.0,79.45,5.12,2.43
1961-01-23,-8.49,-3.19,-0.55,3.9,84.02,2.13,2.24
1961-01-24,-4.4,-3.67,-2.01,0.61,95.84,2.15,3.99
1961-01-25,-7.07,-6.0,-3.73,0.0,77.85,2.18,5.84
1961-01-26,-11.99,-9.33,-5.37,0.0,80.14,3.76,3.37
1961-01-27,-18.68,-10.95,-1.12,0.0,68.62,6.49,1.93
1961-01-28,-15.03,-7.07,-1.93,0.33,74.27,6.55,5.35
1961-01-29,-10.53,-7.29,-3.53,0.0,92.12,3.55,2.9
1961-01-30,-12.25,-3.61,-0.11,1.41,86.36,2.39,2.42
1961-01-31,-0.66,2.47,7.73,4.53,94.09,2.97,2.72
1961-02-01,-0.55,2.72,5.12,0.8,91.44,2.42,2.81
1961-02-02,-1.05,1.7,5.92,0.26,82.44,4.95,2.11
1961-02-03,0.16,2.51,5.4,0.0,82.36,6.78,2.69
1961-02-04,-0.32,1.15,4.85,0.92,83.29,6.17,3.27
1961-02-05,-3.61,-1.19,2.7,0.0,92.73,4.95,3.23
1961-02-06,-8.0,-1.94,0.89,0.0,88.51,2.92,2.83
1961-02-07,-3.21,-0.71,1.79,0.02,96.81,2.66,2.07
1961-02-08,-2.59,2.6,6.29,2.67,88.19,7.45,3.11
1961-02-09,-0.18,2.73,4.35,5.9,97.46,2.74,2.2
1961-02-10,2.71,3.44,5.68,0.12,86.15,2.81,4.71
1961-02-11,-0.2,4.37,9.09,2.9,87.43,6.44,2.04
1961-02-12,2.58,4.77,7.17,0.27,88.78,5.12,4.81
1961-02-13,1.14,4.43,7.64,0.0,87.87,5.81,1.98
1961-02-14,0.94,4.1,8.86,0.0,89.87,5.08,1.86
1961-02-15,0.64,2.92,7.08,0.01,98.12,3.71,1.56
1961-02-16,-0.59,3.87,6.9,0.01,95.53,3.07,2.26
1961-02-17,1.36,3.94,10.57,0.0,93.2,8.59,1.64
1961-02-18,-0.78,0.52,2.19,0.36,99.94,3.17,1.75
1961-02-19,-1.67,1.21,3.54,1.58,97.05,3.59,1.8
1961-02-20,2.93,4.49,6.47,0.52,93.5,3.27,1.86
1961-02-21,0.66,2.92,6.53,0.01,95.36,4.52,3.74
1961-02-22,1.95,4.01,5.82,0.0,89.22,3.37,4.07
1961-02-23,2.6,4.41,7.22,0.0,84.81,5.43,3.61
1961-02-24,1.82,3.45,5.66,0.0,90.41,3.48,2.11
1961-02-25,1.31,2.11,4.09,0.0,83.97,3.53,4.2
1961-02-26,0.63,1.49,2.93,0.0,89.04,3.58,3.24
1961-02-27,-0.95,3.69,7.61,0.0,84.08,7.76,2.98
1961-02-28,-0.07,4.63,7.63,2.37,80.07,4.13,4.58
1961-03-01,0.55,3.72,9.15,0.01,79.1,10.58,3.4
1961-03-02,-0.56,2.93,8.3,0.58,74.82,7.79,2.87
1961-03-03,0.64,4.77,8.19,0.89,82.4,4.78,1.7
1961-03-04,3.53,4.96,7.83,0.0,86.24,3.92,2.97
1961-03-05,-1.24,4.94,13.69,0.0,72.26,10.8,2.96
1961-03-06,0.38,5.46,11.52,0.02,79.9,8.75,2.85
1961-03-07,-1.19,7.96,16.58,0.0,61.95,11.49,3.59
1961-03-08,0.75,7.24,17.35,0.0,63.64,12.77,2.24
1961-03-09,-1.05,7.73,19.03,0.0,52.0,13.58,2.54
1961-03-10,-1.85,7.67,18.79,0.0,53.14,13.44,2.17
1961-03-11,1.19,8.97,18.37,0.0,63.94,13.14,4.04
1961-03-12,3.62,11.59,17.44,0.0,56.02,11.68,4.03
1961-03-13,8.15,9.2,12.9,1.39,80.47,4.44,5.12
1961-03-14,7.13,9.62,11.9,0.37,89.02,4.5,4.84
1961-03-15,8.37,10.31,14.32,0.0,78.93,7.95,5.15
1961-03-16,4.89,11.85,19.37,0.0,59.34,13.83,5.31
1961-03-17,3.23,10.49,19.72,0.0,52.54,14.67,3.19
1961-03-18,0.21,12.25,22.41,0.04,56.88,14.6,4.78
1961-03-19,2.88,5.17,12.62,0.0,63.36,4.87,4.94
1961-03-20,-1.82,2.54,7.36,0.0,70.71,11.81,3.72
1961-03-21,1.18,3.08,8.7,1.42,79.52,11.26,6.17
1961-03-22,-1.59,0.59,5.18,0.14,72.02,12.53,4.28
1961-03-23,-2.2,6.09,8.92,0.0,71.7,5.66,4.76
1961-03-24,5.68,9.1,15.93,0.0,61.68,12.95,4.81
1961-03-25,5.22,9.49,14.84,0.0,57.11,13.63,3.41
1961-03-26,-0.01,9.1,15.77,0.0,55.42,11.8,2.18
1961-03-27,3.91,6.77,10.7,0.39,66.0,8.03,5.26
1961-03-28,-0.27,2.84,7.82,1.43,68.37,13.99,8.95
1961-03-29,0.66,5.35,9.15,0.01,73.92,5.74,5.94
1961-03-30,3.35,9.01,12.88,1.04,68.79,5.6,5.64
1961-03-31,4.56,8.43,13.13,3.06,82.16,6.61,3.34
1961-04-01,2.17,10.02,14.69,0.01,71.03,7.27,3.28
1961-04-02,5.96,11.04,15.53,3.21,85.05,7.87,2.71
1961-04-03,7.01,10.94,16.35,2.09,79.75,11.73,4.13
1961-04-04,5.15,11.73,18.87,0.01,72.84,11.73,2.69
1961-04-05,5.49,14.94,22.32,0.0,59.41,17.41,3.13
1961-04-06,6.27,13.81,22.85,0.08,64.9,18.78,2.03
1961-04-07,6.47,17.01,25.72,0.0,56.99,18.22,1.92
1961-04-08,10.41,15.35,24.78,0.33,68.22,14.82,4.65
1961-04-09,5.99,8.96,14.88,0.04,56.57,19.05,3.29
1961-04-10,1.15,8.45,13.81,0.0,55.42,15.57,4.28
1961-04-11,4.16,10.69,17.69,0.01,65.65,12.22,1.82
1961-04-12,5.32,11.82,19.23,0.0,53.48,19.53,2.86
1961-04-13,3.39,13.91,22.77,0.15,53.76,19.15,2.47
1961-04-14,6.98,17.37,25.66,0.0,46.28,21.15,4.19
1961-04-15,7.42,16.77,25.33,0.0,58.44,19.05,3.74
1961-04-16,7.83,11.23,16.98,0.35,82.54,13.52,2.63
1961-04-17,3.06,12.33,21.09,0.0,64.33,15.95,2.06
1961-04-18,6.77,12.44,18.5,27.06,86.3,8.94,2.47
1961-04-19,10.1,12.88,16.89,0.0,81.03,6.79,2.68
1961-04-20,7.57,12.71,18.74,0.0,57.65,22.24,3.34
1961-04-21,5.18,12.67,19.05,0.01,64.55,22.32,2.84
1961-04-22,7.89,11.62,16.51,0.0,75.53,18.82,6.36
1961-04-23,7.59,11.96,15.53,0.03,70.32,9.06,5.35
1961-04-24,10.05,13.91,20.19,0.0,59.92,17.2,4.03
1961-04-25,5.2,11.35,18.81,0.0,69.27,22.77,3.0
1961-04-26,5.24,13.9,20.13,0.0,69.91,18.46,3.5
1961-04-27,9.64,13.41,16.71,1.97,76.07,9.85,4.3
1961-04-28,9.01,12.13,17.23,0.12,77.7,15.02,2.32
1961-04-29,8.58,14.02,18.52,0.28,76.23,14.22,4.27
1961-04-30,8.29,13.52,20.97,0.81,72.02,15.64,3.02
1961-05-01,9.01,14.0,20.5,0.38,72.11,17.23,3.14
1961-05-02,9.47,13.04,18.46,0.09,77.44,12.55,2.76
1961-05-03,9.66,13.21,20.57,5.23,86.79,18.77,3.07
1961-05-04,6.24,13.69,20.58,0.0,77.84,19.19,1.89
1961-05-05,6.78,16.61,23.07,0.0,75.98,22.73,3.27
1961-05-06,12.83,17.26,24.12,10.83,86.53,12.47,3.92
1961-05-07,12.11,16.24,21.12,0.01,69.41,18.38,4.19
1961-05-08,7.81,12.62,18.23,0.0,60.05,23.14,4.84
1961-05-09,5.57,10.52,16.87,0.53,68.78,18.91,6.33
1961-05-10,7.2,10.14,14.17,0.0,68.59,16.74,5.64
1961-05-11,6.41,8.97,14.62,0.4,71.41,16.11,4.91
1961-05-12,6.77,10.3,14.4,0.45,68.65,13.87,5.0
1961-05-13,4.55,10.13,15.55,1.28,76.02,16.04,3.24
1961-05-14,5.52,11.33,18.18,0.92,84.83,16.06,3.04
1961-05-15,3.04,10.31,16.7,0.01,61.25,20.83,3.75
1961-05-16,3.82,9.13,14.84,4.83,76.24,13.71,2.16
1961-05-17,4.98,10.23,14.43,0.32,68.69,14.52,4.8
1961-05-18,7.79,11.06,16.49,0.0,62.8,18.9,3.81
1961-05-19,4.22,12.61,18.81,0.0,59.58,12.78,3.05
1961-05-20,7.97,14.45,20.84,0.61,54.12,19.56,3.36
1961-05-21,9.08,12.52,19.09,6.81,77.7,12.76,4.08
1961-05-22,10.33,14.59,20.14,0.36,75.88,18.25,3.93
1961-05-23,6.4,13.22,19.83,0.0,58.75,24.25,2.81
1961-05-24,5.29,14.24,21.99,0.0,56.01,21.83,2.6
1961-05-25,5.97,16.69,25.3,0.01,58.87,24.46,2.92
1961-05-26,9.36,17.93,26.03,0.02,62.19,25.35,3.86
1961-05-27,11.08,17.55,25.4,0.71,73.11,19.11,3.58
1961-05-28,9.87,12.0,16.0,2.17,89.64,9.63,4.88
1961-05-29,8.76,10.15,13.93,25.04,98.69,8.16,3.98
1961-05-30,6.56,10.58,13.96,0.0,76.51,10.48,3.86
1961-05-31,5.96,15.42,22.38,0.0,75.85,24.72,3.57
1961-06-01,9.83,19.41,24.38,0.0,64.86,24.49,4.04
1961-06-02,10.3,19.23,25.88,10.49,61.16,26.79,3.15
1961-06-03,13.45,14.76,18.02,6.02,92.03,9.03,3.51
1961-06-04,12.94,15.92,20.33,3.37,89.3,12.03,4.2
1961-06-05,13.19,16.54,23.11,18.08,95.01,11.95,2.45
1961-06-06,14.06,17.83,24.32,1.63,88.64,14.97,3.15
1961-06-07,12.85,17.7,23.76,1.46,91.32,14.72,2.74
1961-06-08,13.49,16.83,22.6,4.11,94.35,10.48,1.98
1961-06-09,12.85,18.35,24.4,0.0,91.35,18.61,2.15
1961-06-10,14.6,17.44,22.29,0.0,82.58,11.03,3.58
1961-06-11,13.49,16.3,19.94,0.0,80.62,9.87,3.69
1961-06-12,12.59,15.87,21.87,0.32,79.72,15.27,3.47
1961-06-13,9.0,15.81,21.37,5.96,84.0,12.2,2.4
1961-06-14,11.82,14.87,20.2,1.01,78.2,18.81,4.74
1961-06-15,9.71,15.57,21.04,0.0,74.15,19.25,2.13
1961-06-16,9.08,16.33,23.59,0.01,66.16,26.81,2.12
1961-06-17,9.88,18.66,25.36,0.01,64.67,26.39,2.07
1961-06-18,10.37,20.78,27.91,0.0,62.23,27.44,2.99
1961-06-19,12.98,21.95,30.64,0.0,67.7,20.93,3.26
1961-06-20,12.16,17.37,23.88,0.04,58.76,28.75,3.29
1961-06-21,9.22,18.85,26.41,0.0,57.86,27.25,2.04
1961-06-22,13.35,20.74,28.4,2.23,69.16,24.32,4.7
1961-06-23,15.65,20.17,26.81,0.0,67.99,26.53,3.61
1961-06-24,11.37,21.62,29.15,0.01,58.16,29.21,3.13
1961-06-25,11.93,23.64,32.12,0.0,55.18,29.52,2.85
1961-06-26,16.06,23.47,30.13,5.02,72.64,20.96,2.59
1961-06-27,16.9,24.27,31.48,0.96,67.28,22.74,3.4
1961-06-28,12.38,15.24,22.83,0.01,66.91,25.6,5.14
1961-06-29,7.75,17.27,24.72,0.02,60.37,28.89,3.42
1961-06-30,10.58,20.57,26.72,0.01,61.36,30.02,3.47
1961-07-01,11.88,22.24,29.9,0.0,56.04,29.83,2.67
1961-07-02,12.86,23.85,31.83,0.0,56.91,28.97,2.59
1961-07-03,12.85,23.76,33.35,0.01,52.95,29.39,2.49
1961-07-04,13.95,19.67,30.63,38.0,87.46,18.12,3.11
1961-07-05,11.78,14.6,19.94,0.0,63.06,24.18,3.68
1961-07-06,8.01,13.61,20.31,0.0,62.75,26.91,3.93
1961-07-07,9.06,14.91,21.7,0.0,56.89,23.59,2.46
1961-07-08,7.34,17.37,23.89,0.0,57.44,25.72,2.24
1961-07-09,9.35,15.35,21.25,1.89,76.67,17.16,3.19
1961-07-10,9.88,17.11,23.13,0.66,71.04,15.66,3.3
1961-07-11,12.73,20.02,27.41,0.0,65.73,22.36,2.13
1961-07-12,12.98,22.43,29.13,0.0,66.6,29.67,3.07
1961-07-13,11.44,16.45,24.56,7.75,91.56,13.79,3.68
1961-07-14,12.76,18.53,24.38,0.0,52.16,25.74,3.53
1961-07-15,14.95,20.33,25.99,11.49,65.63,21.01,2.34
1961-07-16,12.75,16.93,23.08,0.0,70.87,21.08,3.22
1961-07-17,9.07,14.4,20.71,0.31,79.22,20.68,3.62
1961-07-18,9.58,14.72,22.03,1.15,83.75,21.34,3.22
1961-07-19,11.46,15.94,22.3,0.75,80.77,24.45,3.11
1961-07-20,13.4,16.14,21.15,2.31,81.53,16.48,3.1
1961-07-21,12.28,16.69,21.71,1.19,74.72,16.59,3.33
1961-07-22,13.38,16.77,22.29,0.0,77.48,16.38,2.32
1961-07-23,11.71,16.64,22.88,0.0,71.31,16.94,2.9
1961-07-24,12.05,15.54,21.65,0.0,71.4,19.23,2.89
1961-07-25,9.87,14.93,21.98,0.0,64.07,23.11,2.44
1961-07-26,7.15,17.57,25.87,0.0,67.5,27.53,3.04
1961-07-27,11.28,22.22,30.01,0.0,58.54,20.28,2.97
1961-07-28,15.49,18.61,25.23,16.45,87.26,8.53,3.06
1961-07-29,11.97,14.16,19.31,0.0,81.93,13.73,3.8
1961-07-30,10.66,13.8,18.09,5.62,81.58,9.18,3.26
1961-07-31,11.12,14.31,19.67,0.01,78.94,11.23,3.69
