iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-2.04,-0.57,0.65,5.4,96.11,1.67,1.51
1961-01-02,-0.35,0.19,0.89,0.07,96.7,1.68,2.31
1961-01-03,-0.4,2.02,3.68,0.0,89.37,2.51,4.54
1961-01-04,0.68,3.19,7.93,0.0,92.3,1.93,7.34
1961-01-05,-0.46,1.76,5.11,0.0,87.2,4.14,2.85
1961-01-06,-2.99,1.62,5.01,0.0,81.64,4.91,3.24
1961-01-07,-0.54,0.94,2.55,0.0,85.11,2.03,2.36
1961-01-08,-2.14,1.2,4.3,0.39,88.83,4.26,2.17
1961-01-09,-0.8,1.55,4.61,1.57,92.12,3.5,2.09
1961-01-10,-0.46,1.58,4.53,0.16,91.36,4.22,3.39
1961-01-11,0.91,2.0,3.01,0.0,87.48,1.95,2.49
1961-01-12,-3.17,-1.72,2.31,0.0,85.36,6.36,4.01
1961-01-13,-6.21,-3.17,1.41,0.01,74.77,6.35,1.81
1961-01-14,-4.43,-2.25,0.79,0.02,90.84,3.18,1.8
1961-01-15,-6.45,-0.4,3.43,0.0,88.33,4.97,2.25
1961-01-16,-6.05,-2.74,-0.33,0.0,87.97,3.02,2.62
1961-01-17,-7.03,-3.64,1.3,0.0,71.58,6.44,3.27
1961-01-18,-11.4,-8.39,-4.23,0.04,65.69,6.9,4.32
1961-01-19,-12.79,-7.46,-1.32,0.04,65.78,6.64,2.24
1961-01-20,-13.37,-7.11,1.02,0.0,62.69,6.36,0.82
1961-01-21,-12.79,-7.09,-0.32,0.0,71.97,6.55,2.12
1961-01-22,-10.89,-3.69,-0.46,0.0,75.69,4.54,2.28
1961-01-23,-8.08,-2.84,-0.09,2.2,80.44,2.43,2.18
1961-01-24,-4.56,-3.67,-1.73,0.91,93.94,2.15,4.09
1961-01-25,-7.44,-6.15,-3.73,0.0,74.69,2.18,6.33
1961-01-26,-11.6,-9.19,-5.01,0.01,76.81,4.29,4.06
1961-01-27,-17.79,-10.43,-0.95,0.01,63.25,6.8,1.89
1961-01-28,-14.74,-6.89,-1.63,0.11,70.68,6.97,4.7
1961-01-29,-10.06,-7.16,-3.62,0.6,90.66,2.7,2.35
1961-01-30,-11.91,-3.3,-0.04,0.75,83.34,2.88,2.19
