iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-1.68,-0.26,0.98,0.09,92.76,1.89,1.76
1961-01-02,-1.37,-0.72,0.32,0.05,95.24,1.58,1.38
1961-01-03,-1.83,1.01,2.27,1.32,89.39,1.62,2.52
1961-01-04,0.32,1.8,4.86,0.22,92.84,1.61,1.74
1961-01-05,-1.69,0.86,2.88,0.15,90.16,1.94,1.96
1961-01-06,-2.08,0.85,3.37,0.02,78.73,5.55,1.34
1961-01-07,-1.12,1.23,3.27,1.51,85.93,2.42,2.74
1961-01-08,0.14,1.44,2.44,0.41,85.39,1.65,0.98
1961-01-09,-0.27,2.68,5.24,0.7,85.86,4.55,1.75
1961-01-10,-0.39,1.48,4.36,0.06,88.32,5.36,1.8
1961-01-11,-0.04,0.54,1.72,0.12,90.8,1.7,1.14
1961-01-12,-5.54,-3.6,0.28,0.01,78.34,5.64,1.65
1961-01-13,-9.49,-3.97,-0.83,0.01,78.24,4.88,0.72
1961-01-14,-3.52,-0.15,2.8,0.72,70.74,4.23,0.49
1961-01-15,-4.53,-1.94,2.72,0.07,87.79,5.73,1.45
1961-01-16,-9.03,-6.3,-2.13,0.04,96.15,2.03,1.34
1961-01-17,-8.91,-6.16,-0.96,0.04,85.15,6.46,2.83
1961-01-18,-13.23,-9.64,-3.29,0.01,69.4,6.71,1.84
1961-01-19,-14.67,-8.52,-1.16,0.01,60.82,6.75,0.99
1961-01-20,-11.98,-5.96,1.77,0.04,66.14,7.0,0.83
1961-01-21,-12.31,-5.84,-0.51,0.05,70.51,6.25,0.75
1961-01-22,-6.92,-2.47,-0.03,0.1,83.12,2.07,1.02
1961-01-23,-5.35,-2.84,-1.04,1.1,94.09,2.0,0.96
1961-01-24,-5.7,-4.58,-1.45,0.15,86.13,2.1,1.64
1961-01-25,-10.36,-7.83,-3.27,0.03,82.78,6.06,3.74
1961-01-26,-15.43,-11.14,-3.05,0.04,73.5,7.74,1.29
1961-01-27,-17.4,-9.17,-0.93,0.01,62.12,7.49,1.09
1961-01-28,-13.15,-6.55,-1.2,0.06,72.34,7.79,2.33
1961-01-29,-9.43,-2.2,2.22,0.04,77.96,4.06,1.52
1961-01-30,-4.53,1.72,3.93,7.93,81.89,2.23,2.77
1961-01-31,2.15,3.92,7.86,9.82,97.57,2.33,2.87
1961-02-01,0.49,1.54,3.53,4.18,94.47,2.31,2.39
1961-02-02,0.21,1.71,4.36,0.53,78.04,5.89,1.95
1961-02-03,-0.45,0.6,2.85,0.14,86.03,4.6,2.19
1961-02-04,-1.61,-0.24,2.6,7.14,86.23,3.26,1.84
1961-02-05,-7.5,-3.13,2.02,1.02,85.05,6.45,1.64
1961-02-06,-10.5,-1.62,0.22,0.53,85.89,2.53,1.74
1961-02-07,-1.76,1.7,4.62,0.71,82.47,4.09,1.81
1961-02-08,0.13,1.15,3.71,3.92,88.06,4.71,1.91
1961-02-09,-0.1,2.84,4.85,7.0,92.15,2.64,2.13
1961-02-10,1.23,2.32,4.59,0.22,89.22,3.64,3.35
1961-02-11,0.41,3.06,6.63,7.38,86.76,3.95,1.24
1961-02-12,2.11,3.56,4.69,2.64,94.45,2.85,2.65
1961-02-13,0.27,2.98,5.62,0.28,87.44,3.57,0.58
1961-02-14,2.03,3.06,4.74,0.08,97.54,2.87,0.43
1961-02-15,1.39,2.26,4.23,0.04,95.03,3.32,0.51
1961-02-16,-0.67,2.39,4.34,0.05,94.3,3.03,0.35
1961-02-17,0.61,2.4,6.23,0.02,95.2,3.87,0.4
1961-02-18,-2.34,0.16,3.25,0.08,95.91,3.62,0.29
1961-02-19,-0.36,1.13,2.99,0.03,95.67,3.13,0.53
1961-02-20,1.32,3.9,6.92,0.1,87.4,3.51,0.64
1961-02-21,2.2,3.59,6.45,0.04,87.88,6.24,2.39
1961-02-22,1.59,3.38,4.48,0.01,79.84,3.28,1.06
1961-02-23,1.53,3.97,6.4,0.03,75.86,4.55,1.24
1961-02-24,0.16,2.55,7.05,0.03,80.95,6.76,1.09
1961-02-25,-2.9,1.59,6.77,0.01,80.3,10.43,1.53
1961-02-26,-0.25,1.4,4.54,0.05,82.52,5.06,1.55
1961-02-27,-1.11,4.32,6.68,0.1,78.84,5.49,1.44
1961-02-28,2.06,4.5,7.63,1.18,83.82,4.43,3.13
1961-03-01,0.61,2.6,5.79,0.06,84.09,5.9,1.48
1961-03-02,-1.57,2.6,6.46,0.34,80.82,6.4,1.23
1961-03-03,0.94,3.88,5.77,2.43,89.78,3.81,0.65
1961-03-04,1.23,3.37,8.31,0.08,85.91,8.29,0.63
1961-03-05,-1.94,2.48,9.22,0.01,88.56,6.64,0.53
1961-03-06,0.01,4.06,9.66,0.02,81.96,9.36,0.37
1961-03-07,-1.68,4.17,11.0,0.01,88.08,8.04,0.57
1961-03-08,-2.03,6.27,15.25,0.01,69.3,11.96,0.51
1961-03-09,-1.8,6.09,16.21,0.01,63.38,12.92,0.39
1961-03-10,-2.28,7.7,17.44,0.01,56.22,13.45,0.66
1961-03-11,0.76,7.16,12.19,0.01,77.64,8.01,1.99
