iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-4.06,-1.36,0.2,3.77,96.12,1.6,1.29
1961-01-02,-1.18,-0.37,0.56,0.0,96.24,1.66,1.69
1961-01-03,-1.12,0.89,2.39,0.0,93.22,1.81,3.78
1961-01-04,-0.25,2.66,6.49,0.0,90.4,2.13,3.63
1961-01-05,-0.72,1.72,4.85,0.0,82.99,4.85,2.31
1961-01-06,-2.78,1.15,4.39,0.0,80.4,5.16,3.87
1961-01-07,-1.49,0.49,2.22,0.0,85.04,2.63,2.27
1961-01-08,-1.5,1.53,4.51,0.94,86.54,4.87,2.29
1961-01-09,-0.58,1.78,5.16,0.01,91.5,4.76,1.6
1961-01-10,-0.25,2.01,5.34,0.01,90.25,5.35,1.61
1961-01-11,0.75,1.58,2.19,0.0,88.49,1.74,2.85
1961-01-12,-2.86,-1.66,1.72,0.0,80.02,6.06,5.27
1961-01-13,-6.56,-2.96,1.49,0.0,74.59,6.13,1.08
1961-01-14,-4.71,-2.12,0.71,0.0,84.01,4.17,2.34
1961-01-15,-6.47,-0.94,2.91,0.0,89.39,4.73,2.26
1961-01-16,-7.51,-3.8,1.13,0.0,92.76,4.77,2.09
1961-01-17,-7.05,-3.17,1.47,0.0,75.08,6.28,3.25
1961-01-18,-11.52,-8.53,-4.65,0.02,71.94,6.45,3.21
1961-01-19,-12.96,-7.24,-1.76,0.01,70.8,6.37,2.46
1961-01-20,-12.67,-6.7,-0.03,0.0,65.54,6.3,0.6
1961-01-21,-12.45,-6.22,-0.74,0.0,79.56,6.43,1.29
1961-01-22,-8.37,-3.61,-0.98,0.0,80.09,5.97,2.79
1961-01-23,-8.28,-3.62,-1.04,5.75,88.78,2.02,2.23
1961-01-24,-4.67,-3.64,-2.22,0.19,94.56,2.05,3.34
1961-01-25,-7.27,-5.98,-3.79,0.12,83.73,2.08,3.93
1961-01-26,-12.56,-9.66,-5.64,0.0,82.16,3.94,2.35
1961-01-27,-19.49,-11.04,-1.67,0.0,71.85,6.88,2.23
1961-01-28,-13.89,-7.65,-2.67,0.47,79.62,6.93,5.42
1961-01-29,-11.1,-7.2,-3.92,0.0,93.26,5.16,2.42
1961-01-30,-10.96,-3.82,-0.48,1.46,89.47,2.28,1.52
1961-01-31,-0.82,3.46,9.42,3.75,88.48,4.87,3.51
1961-02-01,0.16,3.27,6.0,0.62,86.26,2.32,6.25
1961-02-02,-0.31,2.1,5.8,0.18,82.57,5.76,2.19
1961-02-03,0.5,2.68,5.24,0.09,81.77,7.18,2.57
1961-02-04,-0.03,1.45,4.81,0.81,80.75,6.91,3.91
1961-02-05,-3.2,-0.92,2.61,0.46,92.32,6.78,3.57
1961-02-06,-7.51,-1.9,0.84,0.0,87.69,2.56,2.33
1961-02-07,-3.31,0.24,2.6,0.02,91.15,2.56,1.38
1961-02-08,-0.45,3.03,6.2,4.58,84.42,7.86,4.18
1961-02-09,0.33,3.15,5.11,6.48,94.95,2.64,2.99
1961-02-10,3.32,3.89,5.56,0.98,88.06,2.7,5.6
1961-02-11,0.49,4.77,9.59,1.49,85.12,7.57,2.34
1961-02-12,2.85,4.88,6.97,0.18,88.17,6.54,5.3
1961-02-13,1.44,4.88,7.73,0.0,84.64,6.42,1.87
1961-02-14,2.22,4.78,8.46,0.0,90.36,3.82,1.84
1961-02-15,0.8,3.44,7.42,0.02,98.09,6.16,1.09
1961-02-16,-0.94,3.85,7.14,0.03,90.71,2.96,2.77
1961-02-17,2.13,4.75,10.33,0.0,91.68,9.16,1.25
1961-02-18,-0.8,0.34,2.66,0.07,99.14,3.06,1.08
1961-02-19,-1.8,1.56,4.52,6.34,94.95,3.84,1.75
1961-02-20,3.5,4.77,6.19,0.09,91.2,3.16,1.94
1961-02-21,1.4,2.91,6.05,0.0,94.82,3.99,4.35
1961-02-22,2.03,4.05,5.6,0.0,89.68,3.26,4.27
1961-02-23,2.18,4.19,6.47,0.0,86.52,4.42,3.9
1961-02-24,1.62,3.01,5.34,0.0,91.1,3.42,1.95
1961-02-25,1.07,2.1,4.18,0.0,85.17,3.41,5.08
1961-02-26,0.42,1.37,2.9,0.0,88.7,3.47,3.13
1961-02-27,-0.69,3.27,6.53,0.28,84.17,5.53,2.46
1961-02-28,0.3,4.65,7.15,1.74,79.98,3.99,4.1
1961-03-01,0.86,3.98,8.67,0.14,81.29,11.09,3.16
1961-03-02,-0.09,3.26,8.2,0.16,76.05,9.54,2.95
1961-03-03,0.6,4.82,8.13,1.52,83.95,4.37,1.55
1961-03-04,3.41,5.0,7.64,0.02,88.41,3.8,2.62
1961-03-05,-0.45,5.67,13.55,0.0,69.87,11.6,2.85
1961-03-06,0.73,6.01,11.59,0.01,80.45,10.32,2.48
1961-03-07,0.57,8.34,16.6,0.0,65.52,12.24,3.43
1961-03-08,1.92,8.1,17.15,0.0,62.83,12.82,2.6
1961-03-09,0.19,8.5,18.98,0.0,52.36,13.38,2.58
1961-03-10,-1.41,8.6,18.95,0.0,55.1,13.26,2.63
1961-03-11,3.71,9.66,18.27,0.0,67.33,13.19,4.62
1961-03-12,3.45,11.51,17.5,0.0,58.88,12.29,3.97
1961-03-13,8.39,9.57,13.21,3.02,86.1,4.32,5.67
1961-03-14,7.88,9.83,11.69,0.09,88.1,4.41,5.39
1961-03-15,8.92,10.69,14.0,0.0,78.27,10.14,6.07
1961-03-16,5.61,12.05,19.02,0.0,60.84,13.84,4.86
1961-03-17,4.38,11.85,19.78,0.0,53.04,14.43,2.66
1961-03-18,1.9,12.3,22.09,0.0,60.61,14.63,5.14
1961-03-19,2.55,5.39,12.23,0.0,69.11,4.72,5.18
1961-03-20,-1.49,2.76,7.33,0.0,72.09,12.67,4.35
1961-03-21,1.52,3.44,8.33,2.12,80.74,12.42,6.51
1961-03-22,-1.31,0.42,5.08,0.12,79.28,13.15,4.45
1961-03-23,-1.82,5.71,8.68,0.0,73.89,7.4,6.67
1961-03-24,6.09,9.49,14.46,0.0,62.02,13.73,5.09
1961-03-25,5.48,9.02,14.27,0.0,61.75,13.64,3.36
1961-03-26,1.12,9.87,16.11,0.0,54.91,13.32,2.33
1961-03-27,3.89,6.44,11.16,1.4,75.94,11.02,5.26
1961-03-28,-0.08,3.2,7.46,0.69,68.84,13.46,9.31
