iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-5.08,-3.07,-0.79,0.0,95.54,1.68,1.74
1961-01-02,-4.47,-3.3,-0.93,0.0,99.37,1.72,1.28
1961-01-03,-4.6,-1.77,0.68,0.0,95.58,1.71,1.76
1961-01-04,-4.37,-2.23,1.44,0.13,97.98,1.85,1.02
1961-01-05,-6.8,-1.35,3.33,0.06,90.76,2.85,1.73
1961-01-06,-5.54,-2.27,3.14,0.0,89.19,4.21,1.53
1961-01-07,-5.47,-0.52,3.15,0.04,91.9,3.33,2.19
1961-01-08,-2.37,0.55,2.52,0.0,83.06,1.93,1.51
1961-01-09,-2.89,1.29,5.46,0.03,91.51,4.3,2.22
1961-01-10,-2.1,0.01,4.35,0.03,88.19,4.4,1.69
1961-01-11,-1.69,-0.69,0.73,0.0,93.38,1.82,1.81
1961-01-12,-8.69,-6.54,0.29,0.0,97.75,5.49,1.51
1961-01-13,-12.01,-6.22,-1.46,0.01,88.87,4.49,0.19
1961-01-14,-5.59,-2.89,1.32,0.0,83.44,4.15,0.97
1961-01-15,-5.42,-3.16,1.42,0.0,93.96,2.27,1.45
1961-01-16,-8.69,-6.71,-1.7,0.0,99.51,1.99,1.33
1961-01-17,-8.97,-6.28,-0.81,0.0,96.33,3.96,1.55
1961-01-18,-14.8,-11.34,-4.8,0.01,85.92,5.93,1.91
1961-01-19,-14.92,-9.46,-2.43,0.01,83.02,5.82,2.07
1961-01-20,-14.01,-8.37,-0.06,0.18,81.36,5.95,1.41
1961-01-21,-12.32,-4.94,-2.5,0.28,92.56,2.06,1.25
1961-01-22,-6.71,-4.76,-0.18,0.01,99.17,2.94,1.18
1961-01-23,-8.57,-3.78,-0.69,1.95,95.74,2.12,1.16
1961-01-24,-3.99,-3.14,-0.77,1.81,96.36,2.15,1.12
1961-01-25,-7.74,-5.93,-2.13,0.19,97.0,2.18,2.1
1961-01-26,-12.87,-10.63,-5.02,0.0,92.95,2.21,1.51
1961-01-27,-18.54,-11.27,-2.61,0.01,84.21,6.43,1.28
1961-01-28,-17.54,-10.59,-3.62,0.0,90.89,5.57,2.29
1961-01-29,-11.74,-0.36,6.86,0.01,82.7,6.01,2.16
1961-01-30,-2.62,3.23,7.36,2.5,75.47,2.37,2.88
1961-01-31,1.34,4.25,9.81,4.61,95.01,4.23,3.63
1961-02-01,-0.66,1.18,4.82,3.84,90.02,2.42,3.56
1961-02-02,-0.69,0.86,3.65,1.96,86.52,4.07,2.04
1961-02-03,-0.45,0.29,3.66,0.03,88.08,5.42,2.75
1961-02-04,-2.59,-0.89,1.92,3.86,90.62,4.03,2.12
1961-02-05,-7.55,-3.89,1.02,0.4,100.0,2.72,2.56
1961-02-06,-8.77,-1.3,3.37,0.88,94.55,4.27,1.95
1961-02-07,-2.2,1.42,4.28,0.11,88.97,2.75,2.24
1961-02-08,-0.0,1.33,4.56,7.04,93.05,5.25,3.72
1961-02-09,0.37,3.75,6.5,8.61,98.72,2.75,4.58
1961-02-10,0.99,1.97,5.16,0.06,86.02,2.8,5.34
1961-02-11,-0.87,3.3,8.95,7.09,73.76,5.47,2.23
1961-02-12,2.09,2.63,4.47,1.35,91.5,2.93,4.06
1961-02-13,-0.23,2.79,5.46,0.44,88.91,2.97,1.71
1961-02-14,1.67,3.53,6.87,0.01,99.26,2.98,1.11
1961-02-15,-1.82,2.2,9.16,0.01,94.41,5.99,0.82
1961-02-16,-1.14,3.04,7.39,0.0,87.22,5.4,0.36
1961-02-17,-0.55,3.12,11.04,0.04,89.76,8.68,0.74
1961-02-18,-2.31,0.05,5.23,0.01,92.5,3.82,0.85
1961-02-19,-3.76,1.3,4.3,4.81,89.59,4.55,1.94
1961-02-20,2.37,3.44,6.04,0.01,89.82,3.28,1.09
