iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-5.58,-2.06,-0.12,2.78,94.99,1.63,1.73
1961-01-02,-1.67,-0.61,0.51,0.0,95.32,1.66,2.33
1961-01-03,-1.54,0.52,2.03,0.0,94.38,1.72,4.35
1961-01-04,-0.59,2.43,5.91,0.0,88.15,2.5,2.97
1961-01-05,-0.99,1.6,4.82,0.0,80.73,5.1,2.81
1961-01-06,-2.68,0.89,4.18,0.0,81.3,5.61,3.96
1961-01-07,-2.2,0.28,2.14,0.0,86.42,3.01,2.96
1961-01-08,-1.39,1.52,4.43,0.79,85.39,5.21,2.65
1961-01-09,-0.77,1.85,5.15,0.0,90.66,5.35,1.77
1961-01-10,-0.12,2.17,5.48,0.0,88.6,5.86,2.13
1961-01-11,0.42,1.26,1.79,0.0,89.52,1.77,3.08
1961-01-12,-2.99,-1.42,1.53,0.0,75.45,5.52,6.76
1961-01-13,-6.84,-2.86,1.38,0.0,73.66,6.45,1.99
1961-01-14,-4.88,-2.02,0.59,0.0,80.83,5.09,3.06
1961-01-15,-6.55,-1.43,2.79,0.0,92.26,5.02,2.68
1961-01-16,-8.04,-4.07,1.37,0.0,94.32,5.59,2.29
1961-01-17,-7.2,-3.04,1.52,0.0,72.64,6.64,3.48
1961-01-18,-11.84,-8.52,-4.88,0.0,69.69,6.81,3.62
1961-01-19,-12.68,-7.07,-2.09,0.0,65.46,6.86,3.39
1961-01-20,-12.17,-6.36,-0.7,0.0,60.69,6.93,2.14
1961-01-21,-12.23,-5.89,-1.18,0.0,77.78,6.25,2.04
1961-01-22,-7.27,-3.61,-1.27,0.0,78.83,6.26,3.26
1961-01-23,-8.15,-3.88,-1.4,6.26,91.25,2.06,2.93
1961-01-24,-5.02,-3.67,-2.49,0.16,94.2,2.09,3.32
1961-01-25,-7.38,-5.85,-3.81,0.28,88.34,2.12,3.63
1961-01-26,-12.96,-9.93,-5.94,0.0,82.45,4.08,3.06
1961-01-27,-20.11,-11.19,-2.44,0.0,72.07,7.42,3.45
1961-01-28,-13.48,-8.1,-3.2,0.33,83.73,7.58,4.99
1961-01-29,-11.95,-7.25,-3.8,0.0,92.64,7.04,2.57
1961-01-30,-10.48,-4.33,-0.58,0.81,90.75,2.29,1.47
1961-01-31,-0.95,3.99,10.43,3.15,85.36,6.03,4.09
1961-02-01,0.5,3.67,6.54,0.46,81.06,2.36,9.25
1961-02-02,0.08,2.39,5.74,0.2,82.35,6.89,2.58
1961-02-03,0.64,2.7,5.06,0.12,80.27,7.12,3.94
1961-02-04,0.01,1.47,4.53,1.13,79.25,7.71,4.92
