Experiment;Name;Year;Sowing;Harvest;Fertilisation_min;Crop;Lat;Long;Elevation
EX73;HUB_Thyrow_D1;2010;28.09.2009;21.07.2010;fert8;WW;52.252;13.235;47
EX74;HUB_Thyrow_D1;2010;14.04.2010;05.10.2010;fert7;PO;52.252;13.235;47
EX75;HUB_Thyrow_D1;2010;26.08.2009;13.07.2010;fert9;WC;52.252;13.235;47
EX76;HUB_Thyrow_D1;2010;17.09.2009;20.07.2010;fert7;WR;52.252;13.235;47
EX77;HUB_Thyrow_D1;2010;28.09.2009;21.07.2010;fert7;WW;52.252;13.235;47
EX78;HUB_Thyrow_D1;2010;14.04.2010;05.10.2010;fert7;PO;52.252;13.235;47
EX79;HUB_Thyrow_D1;2010;26.08.2009;13.07.2010;fert9;WC;52.252;13.235;47
EX80;HUB_Thyrow_D1;2010;17.09.2009;20.07.2010;fert7;WR;52.252;13.235;47
EX81;HUB_Thyrow_D1;2010;28.09.2009;21.07.2010;fert7;WW;52.252;13.235;47
EX82;HUB_Thyrow_D1;2011;11.04.2011;15.09.2011;no_fert;PO;52.252;13.235;47
EX83;HUB_Thyrow_D1;2011;25.08.2010;13.07.2011;no_fert;WC;52.252;13.235;47
EX84;HUB_Thyrow_D1;2011;07.10.2010;26.07.2011;no_fert;WR;52.252;13.235;47
EX85;HUB_Thyrow_D1;2011;07.10.2010;19.07.2011;no_fert;WW;52.252;13.235;47
EX86;HUB_Thyrow_D1;2011;11.04.2011;15.09.2011;fert12;PO;52.252;13.235;47
EX87;HUB_Thyrow_D1;2011;25.08.2010;13.07.2011;fert16;WC;52.252;13.235;47
EX88;HUB_Thyrow_D1;2011;07.10.2010;26.07.2011;fert14;WR;52.252;13.235;47
EX89;HUB_Thyrow_D1;2011;07.10.2010;19.07.2011;fert14;WW;52.252;13.235;47
EX90;HUB_Thyrow_D1;2011;11.04.2011;15.09.2011;fert11;PO;52.252;13.235;47
EX91;HUB_Thyrow_D1;2011;25.08.2010;13.07.2011;fert15;WC;52.252;13.235;47
EX92;HUB_Thyrow_D1;2011;07.10.2010;26.07.2011;fert13;WR;52.252;13.235;47
EX93;HUB_Thyrow_D1;2011;07.10.2010;19.07.2011;fert13;WW;52.252;13.235;47
EX94;HUB_Thyrow_D1;2011;11.04.2011;15.09.2011;fert11;PO;52.252;13.235;47
EX95;HUB_Thyrow_D1;2011;25.08.2010;13.07.2011;fert15;WC;52.252;13.235;47
EX96;HUB_Thyrow_D1;2011;07.10.2010;26.07.2011;fert13;WR;52.252;13.235;47
EX97;HUB_Thyrow_D1;2011;07.10.2010;19.07.2011;fert13;WW;52.252;13.235;47
EX98;HUB_Thyrow_D1;2011;11.04.2011;15.09.2011;no_fert;PO;52.252;13.235;47
EX99;HUB_Thyrow_D1;2011;25.08.2010;13.07.2011;no_fert;WC;52.252;13.235;47
EX100;HUB_Thyrow_D1;2011;07.10.2010;26.07.2011;no_fert;WR;52.252;13.235;47
EX101;HUB_Thyrow_D1;2011;07.10.2010;19.07.2011;no_fert;WW;52.252;13.235;47
EX102;HUB_Thyrow_D1;2011;11.04.2011;15.09.2011;fert12;PO;52.252;13.235;47
EX103;HUB_Thyrow_D1;2011;25.08.2010;13.07.2011;fert16;WC;52.252;13.235;47
EX104;HUB_Thyrow_D1;2011;07.10.2010;26.07.2011;fert14;WR;52.252;13.235;47
EX105;HUB_Thyrow_D1;2011;07.10.2010;19.07.2011;fert14;WW;52.252;13.235;47
EX106;HUB_Thyrow_D1;2011;11.04.2011;15.09.2011;fert11;PO;52.252;13.235;47
EX107;HUB_Thyrow_D1;2011;25.08.2010;13.07.2011;fert15;WC;52.252;13.235;47
EX108;HUB_Thyrow_D1;2011;07.10.2010;26.07.2011;fert13;WR;52.252;13.235;47
EX109;HUB_Thyrow_D1;2011;07.10.2010;19.07.2011;fert13;WW;52.252;13.235;47
EX110;HUB_Thyrow_D1;2011;11.04.2011;15.09.2011;fert11;PO;52.252;13.235;47
