iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-1.24,0.38,1.87,3.51,90.99,1.71,1.51
1961-01-02,-0.84,0.7,1.62,0.78,92.27,1.73,2.02
1961-01-03,-1.1,3.94,5.26,1.26,81.93,5.09,7.34
1961-01-04,2.0,4.58,8.4,0.93,87.17,1.71,3.91
1961-01-05,0.63,2.67,5.38,0.0,85.52,6.37,3.32
1961-01-06,-2.59,2.02,4.38,0.0,82.03,6.19,4.9
1961-01-07,0.73,2.04,4.01,0.06,84.38,1.9,2.83
1961-01-08,-1.11,1.25,4.4,1.61,89.24,6.09,2.86
1961-01-09,0.26,1.87,4.21,0.37,90.33,5.51,2.65
1961-01-10,-0.18,1.45,3.24,0.08,91.8,6.2,3.58
1961-01-11,0.79,2.5,3.69,0.01,82.81,3.95,4.06
1961-01-12,-2.68,-1.29,3.03,0.0,81.08,6.0,4.46
1961-01-13,-4.95,-2.99,1.32,0.0,81.77,6.58,2.12
1961-01-14,-5.55,-3.4,0.6,0.0,92.92,3.96,1.83
1961-01-15,-7.41,-2.27,4.11,0.0,92.02,6.76,2.79
1961-01-16,-7.7,-3.47,0.38,0.0,88.94,2.58,2.51
1961-01-17,-8.89,-5.57,-0.25,0.0,84.64,7.02,4.16
1961-01-18,-13.16,-9.7,-3.74,0.0,75.59,7.13,3.46
1961-01-19,-13.77,-8.54,-1.41,0.0,74.87,7.1,2.43
1961-01-20,-13.57,-7.76,0.88,0.0,68.48,7.26,2.36
1961-01-21,-13.6,-8.48,-0.27,0.0,77.3,7.39,1.98
1961-01-22,-12.36,-4.16,-0.13,0.0,75.95,6.22,2.9
1961-01-23,-7.43,-2.54,0.95,0.08,76.04,5.86,1.88
1961-01-24,-4.93,-3.5,-0.69,0.12,91.16,2.13,2.63
1961-01-25,-7.83,-6.34,-3.2,0.0,81.92,2.2,7.66
1961-01-26,-11.85,-9.22,-3.15,0.0,76.06,7.33,4.77
1961-01-27,-16.07,-9.87,-0.81,0.0,75.4,8.04,1.87
1961-01-28,-14.01,-6.39,-1.51,0.11,74.64,8.24,4.71
1961-01-29,-8.44,-6.27,-3.29,0.29,91.71,2.3,2.99
1961-01-30,-9.41,-0.7,1.37,2.11,81.72,6.94,4.11
1961-01-31,-0.28,2.49,5.24,5.65,91.77,2.37,3.35
1961-02-01,-0.65,2.19,4.04,3.79,91.61,2.41,2.31
1961-02-02,-1.15,2.36,5.61,0.22,75.33,5.93,2.6
1961-02-03,0.26,1.84,5.64,0.0,80.9,5.83,2.71
1961-02-04,-0.44,0.96,3.43,0.11,79.61,5.38,3.21
1961-02-05,-2.45,-0.88,2.23,0.05,88.49,2.76,2.32
1961-02-06,-7.8,-1.84,1.49,0.01,75.31,5.06,2.44
1961-02-07,-1.27,-0.14,1.8,0.0,90.73,2.65,2.05
1961-02-08,-1.86,1.86,5.55,0.98,88.85,5.58,2.7
1961-02-09,-1.01,1.45,2.51,14.6,94.3,2.73,1.76
1961-02-10,1.05,2.91,4.53,3.96,87.78,2.77,2.63
1961-02-11,0.04,3.17,7.06,2.78,87.14,6.29,2.32
1961-02-12,1.87,3.34,4.71,5.28,92.62,2.9,2.85
1961-02-13,0.95,3.29,7.0,0.0,87.55,6.51,1.45
1961-02-14,-0.55,3.06,8.25,0.0,83.44,7.03,1.41
1961-02-15,0.89,3.34,6.57,0.02,91.13,3.0,1.28
1961-02-16,1.08,2.87,4.25,0.02,95.01,3.05,1.5
1961-02-17,-0.17,2.49,7.81,0.0,94.93,6.24,1.53
1961-02-18,-2.59,0.15,3.58,0.27,93.75,3.15,1.67
1961-02-19,-0.96,0.86,2.67,5.09,95.65,3.2,1.48
1961-02-20,0.16,2.9,5.64,0.04,95.7,3.28,1.85
1961-02-21,-0.47,2.35,6.61,0.0,88.52,7.11,2.91
1961-02-22,-0.18,3.74,6.24,0.0,80.89,6.35,2.29
1961-02-23,0.64,3.97,6.7,0.0,77.4,6.46,2.05
1961-02-24,1.49,4.02,6.29,0.0,76.34,3.46,2.39
1961-02-25,-0.13,1.82,4.98,0.0,78.12,7.96,2.63
1961-02-26,-0.22,0.48,1.73,0.0,86.64,3.57,2.92
1961-02-27,-0.27,4.3,7.97,0.0,68.55,9.91,3.59
1961-02-28,0.21,3.99,6.83,1.89,75.0,6.34,3.48
1961-03-01,0.59,3.94,8.63,0.0,83.09,10.01,2.4
1961-03-02,-0.96,2.84,7.37,0.02,80.76,6.6,2.15
1961-03-03,-0.7,4.6,8.18,0.34,82.4,7.61,1.72
1961-03-04,2.73,5.18,8.08,0.0,88.34,4.29,1.76
1961-03-05,-0.78,3.41,9.97,0.0,90.18,7.7,1.82
1961-03-06,-0.05,4.13,10.43,0.0,81.21,7.63,1.64
1961-03-07,-2.66,6.33,14.29,0.0,76.28,11.27,1.36
1961-03-08,-0.81,5.5,15.27,0.0,71.8,12.99,1.36
1961-03-09,-2.49,6.62,16.7,0.0,66.38,13.32,1.21
1961-03-10,-0.95,7.44,19.19,0.0,64.1,13.9,1.94
1961-03-11,-0.17,8.78,17.56,0.0,67.69,13.11,2.51
1961-03-12,5.07,11.34,16.37,0.0,57.55,11.16,2.93
1961-03-13,6.8,8.27,12.45,0.16,76.52,4.54,4.29
1961-03-14,4.71,7.95,10.16,1.39,86.53,4.49,2.64
1961-03-15,7.48,9.88,14.41,0.0,76.63,9.39,3.65
1961-03-16,4.25,11.68,18.02,0.0,61.61,13.08,4.32
1961-03-17,1.58,8.81,18.17,0.0,63.83,15.28,1.94
1961-03-18,1.43,12.67,21.96,0.03,56.37,15.6,2.69
1961-03-19,2.82,5.84,14.22,0.0,66.46,4.79,3.54
1961-03-20,-1.96,1.93,6.59,3.8,73.47,13.5,3.28
1961-03-21,0.78,2.65,6.41,2.22,88.29,9.81,5.94
1961-03-22,-1.24,0.53,4.94,0.47,74.12,10.47,3.34
1961-03-23,-2.04,4.42,6.84,0.03,85.41,5.03,2.9
1961-03-24,4.36,8.15,12.32,0.0,68.13,9.39,3.95
1961-03-25,5.34,8.26,13.99,0.0,71.12,10.06,2.68
1961-03-26,1.34,8.2,13.4,0.09,62.94,9.45,2.75
1961-03-27,2.9,5.85,10.21,0.0,69.58,6.38,4.02
1961-03-28,-0.59,2.55,6.87,0.0,72.96,10.53,6.5
1961-03-29,0.28,4.74,6.98,0.09,77.52,5.39,3.47
1961-03-30,2.99,7.68,12.36,2.47,78.13,5.88,3.81
1961-03-31,6.96,7.9,10.99,3.78,89.98,5.51,3.13
