Fertilisation_min;Date;Amount_kg_ha;Material
fert87;30.04.2018;40;LAV
fert87;11.05.2018;40;LAV
fert88;26.02.2019;30;LAV
fert88;18.04.2019;50;DASA
fert88;03.05.2019;40;LAV
fert89;26.02.2019;30;LAV
fert89;18.04.2019;50;DASA
fert89;03.05.2019;40;LAV
fert89;21.05.2019;40;LAV
fert90;05.03.2020;40;LAV
fert90;23.04.2020;50;DASA
fert90;05.05.2020;40;LAV
fert91;05.03.2020;40;LAV
fert91;23.04.2020;50;DASA
fert91;05.05.2020;40;LAV
fert91;15.05.2020;40;LAV
fert92;10.03.2021;40;LAV
fert92;04.05.2021;50;DASA
fert92;18.05.2021;50;LAV
fert93;10.03.2021;40;LAV
fert93;04.05.2021;50;DASA
fert93;18.05.2021;50;LAV
fert93;31.05.2021;40;LAV
fert94;01.03.2022;40;LAV
fert94;25.04.2022;50;DASA
fert94;10.05.2022;40;LAV
fert95;01.03.2022;40;LAV
fert95;25.04.2022;50;DASA
fert95;10.05.2022;40;LAV
fert95;23.05.2022;40;LAV
fert96;21.04.2023;60;DASA
fert96;10.05.2023;40;LAV
fert97;21.04.2023;60;DASA
fert97;10.05.2023;40;LAV
fert97;22.05.2023;40;LAV
fert98;01.03.2024;40;LAV
fert98;16.04.2024;50;DASA
fert98;26.04.2024;40;LAV
fert99;01.03.2024;40;LAV
fert99;16.04.2024;50;DASA
fert99;26.04.2024;40;LAV
fert99;10.05.2024;40;LAV
fert100;10.04.2006;60;LAV
fert100;28.04.2006;30;LAV
fert101;10.04.2006;60;LAV
fert101;28.04.2006;30;LAV
fert101;05.06.2006;40;LAV
fert102;13.03.2007;35;LAV
fert102;23.03.2007;35;LAV
fert102;13.04.2007;40;LAV
fert103;13.03.2007;35;LAV
fert103;23.03.2007;35;LAV
fert103;13.04.2007;40;LAV
fert103;05.06.2007;40;LAV
fert104;28.03.2008;35;LAV
fert104;07.04.2008;35;LAV
fert104;29.04.2008;40;LAV
fert105;28.03.2008;35;LAV
fert105;07.04.2008;35;LAV
fert105;29.04.2008;40;LAV
fert105;01.06.2008;40;LAV
fert106;06.04.2009;30;LAV
fert106;17.04.2009;30;LAV
fert106;24.04.2009;50;LAV
fert107;06.04.2009;30;LAV
fert107;17.04.2009;30;LAV
fert107;24.04.2009;50;LAV
fert107;25.05.2009;40;LAV
fert108;26.03.2010;35;LAV
fert108;10.04.2010;35;LAV
fert108;26.04.2010;50;LAV
fert109;26.03.2010;35;LAV
fert109;10.04.2010;35;LAV
fert109;26.04.2010;50;LAV
fert109;10.06.2010;40;LAV
fert110;10.03.2011;30;LAV
fert110;24.03.2011;30;LAV
fert110;10.04.2011;50;LAV
fert111;10.03.2011;30;LAV
fert111;24.03.2011;30;LAV
fert111;10.04.2011;50;LAV
fert111;02.06.2011;40;LAV
fert112;05.03.2012;30;LAD
fert112;04.04.2012;30;LAD
fert112;18.04.2012;50;LAD
fert113;21.03.2012;30;LAD
fert113;04.04.2012;30;LAD
fert113;18.04.2012;50;LAD
fert114;05.03.2012;30;LAD
fert114;04.04.2012;30;LAD
fert114;18.04.2012;50;LAD
fert114;23.05.2012;40;LAD
fert115;21.03.2012;30;LAD
fert115;04.04.2012;30;LAD
fert115;18.04.2012;50;LAD
fert115;23.05.2012;40;LAD
fert116;11.04.2013;30;LAD
fert116;25.04.2013;30;LAD
fert116;02.05.2013;50;LAD
fert117;11.04.2013;30;LAD
fert117;25.04.2013;30;LAD
fert117;02.05.2013;50;LAD
fert117;15.06.2013;40;LAD
fert118;03.03.2014;40;DASA
fert118;18.03.2014;30;LAD
fert118;31.03.2014;50;LAD
fert119;03.03.2014;40;DASA
fert119;18.03.2014;30;LAD
fert119;31.03.2014;50;LAD
fert119;27.05.2014;40;LAD
fert120;10.03.2015;30;DASA
fert120;25.03.2015;30;LAD
fert120;15.04.2015;55;LAD
fert121;10.03.2015;30;DASA
fert121;25.03.2015;30;LAD
fert121;15.04.2015;55;LAD
fert121;03.06.2015;40;LAD
fert122;18.03.2016;30;DASA
fert122;04.04.2016;30;LAV
fert122;20.04.2016;60;LAV
fert123;18.03.2016;30;DASA
fert123;04.04.2016;30;LAV
fert123;20.04.2016;60;LAV
fert123;27.05.2016;40;LAV
fert124;17.03.2017;30;DASA
fert124;30.03.2017;30;LAV
fert124;20.04.2017;60;LAV
fert125;17.03.2017;30;DASA
fert125;30.03.2017;30;LAV
fert125;20.04.2017;60;LAV
fert125;30.05.2017;40;LAV
fert126;26.03.2018;30;DASA
fert126;10.04.2018;30;LAV
fert126;26.04.2018;60;LAV
fert127;26.03.2018;30;DASA
fert127;10.04.2018;30;LAV
fert127;26.04.2018;60;LAV
fert127;15.05.2018;40;LAV
fert128;20.03.2019;30;LAV
fert128;03.04.2019;30;LAV
fert128;15.04.2019;60;DASA
fert129;20.03.2019;30;LAV
fert129;03.04.2019;30;LAV
fert129;15.04.2019;60;DASA
fert129;15.05.2019;40;LAV
fert130;17.03.2020;30;LAV
fert130;02.04.2020;30;LAV
fert130;22.04.2020;60;DASA
fert131;17.03.2020;30;LAV
fert131;02.04.2020;30;LAV
fert131;22.04.2020;60;DASA
fert131;21.05.2020;40;LAV
fert132;25.03.2021;30;LAV
fert132;08.04.2021;30;LAV
fert132;05.05.2021;60;DASA
fert133;25.03.2021;30;LAV
fert133;08.04.2021;30;LAV
fert133;05.05.2021;60;DASA
fert133;04.06.2021;40;LAV
fert134;21.03.2022;50;LAD
fert134;03.05.2022;60;DASA
fert135;21.03.2022;50;LAD
fert135;03.05.2022;60;DASA
fert135;24.05.2022;40;LAD
fert136;20.03.2023;30;LAD
fert136;04.04.2023;30;LAD
fert136;24.04.2023;60;DASA
fert137;20.03.2023;30;LAD
fert137;04.04.2023;30;LAD
fert137;24.04.2023;60;DASA
fert137;26.05.2023;40;LAD
fert138;14.03.2024;50;LAD
fert138;24.04.2024;60;DASA
fert139;14.03.2024;50;LAD
fert139;24.04.2024;60;DASA
fert139;14.05.2024;40;LAD
fert140;24.03.2006;30;LAV
fert140;21.04.2006;20;LAV
fert140;22.05.2006;50;LAV
fert141;24.03.2006;30;LAV
fert141;21.04.2006;20;LAV
fert141;22.05.2006;50;LAV
fert141;09.06.2006;40;LAV
fert142;05.03.2007;30;LAV
fert142;24.04.2007;40;LAV
fert143;05.03.2007;30;LAV
fert143;24.04.2007;40;LAV
fert143;21.05.2007;40;LAV
fert144;26.02.2008;25;LAV
fert144;11.04.2008;60;LAV
fert145;26.02.2008;25;LAV
fert145;11.04.2008;60;LAV
fert145;26.05.2008;40;LAV
fert146;20.03.2009;60;LAV
fert146;15.04.2009;50;LAV
fert147;20.03.2009;60;LAV
fert147;15.04.2009;50;LAV
fert147;13.05.2009;40;LAV
fert148;08.03.2010;35;LAD
fert148;29.03.2010;35;LAD
fert148;27.04.2010;50;LAD
fert149;08.03.2010;35;LAD
fert149;29.03.2010;35;LAD
fert149;27.04.2010;50;LAD
fert149;12.05.2010;40;LAD
fert150;01.03.2011;30;LAV
fert150;24.03.2011;30;LAV
fert150;28.04.2011;50;LAD
fert151;01.03.2011;30;LAV
fert151;24.03.2011;30;LAV
fert151;28.04.2011;50;LAD
fert151;23.05.2011;40;LAD
fert152;05.03.2012;30;LAD
fert152;22.03.2012;20;LAD
fert152;27.04.2012;40;LAD
fert153;05.03.2012;30;LAD
fert153;22.03.2012;20;LAD
fert153;27.04.2012;40;LAD
fert153;16.05.2012;40;LAD
fert154;06.03.2013;30;LAV
fert154;09.05.2013;60;LAV
fert155;06.03.2013;30;LAV
fert155;09.05.2013;60;LAV
fert155;12.06.2013;40;LAV
fert156;27.02.2014;40;DASA
fert156;14.04.2014;50;LAD
fert157;27.02.2014;40;DASA
fert157;14.04.2014;50;LAD
fert157;13.05.2014;40;LAD
fert158;05.03.2015;30;DASA
fert158;23.04.2015;50;LAD
fert158;12.05.2015;30;LAD
fert159;05.03.2015;30;DASA
fert159;23.04.2015;50;LAD
fert159;12.05.2015;30;LAD
fert159;29.05.2015;40;LAD
fert160;21.03.2016;30;DASA
fert160;21.04.2016;50;LAD
fert160;05.05.2016;30;LAD
fert161;31.03.2016;30;DASA
fert161;21.04.2016;50;LAD
fert161;05.05.2016;30;LAD
fert162;21.03.2016;30;DASA
fert162;21.04.2016;50;LAD
fert162;05.05.2016;30;LAD
fert162;26.05.2016;40;LAD
fert163;31.03.2016;30;DASA
fert163;21.04.2016;50;LAD
fert163;05.05.2016;30;LAD
fert163;26.05.2016;40;LAD
fert164;14.03.2017;30;DASA
fert164;02.05.2017;50;LAD
fert164;15.05.2017;30;LAD
fert165;14.03.2017;30;DASA
fert165;02.05.2017;50;LAD
fert165;15.05.2017;30;LAD
fert165;24.05.2017;40;LAD
fert166;20.03.2018;50;LAD
fert166;25.04.2018;50;LAD
fert166;09.05.2018;30;DASA
fert167;20.03.2018;50;LAD
fert167;24.04.2018;100;DASA
fert168;20.03.2018;50;LAD
fert168;25.04.2018;50;LAD
fert168;09.05.2018;30;DASA
fert168;21.05.2018;40;LAD
fert169;20.03.2018;50;LAD
fert169;24.04.2018;100;DASA
fert169;21.05.2018;40;LAD
fert170;25.02.2019;30;LAD
fert170;12.04.2019;50;DASA
fert170;02.05.2019;30;DASA
fert171;25.02.2019;30;LAD
fert171;12.04.2019;50;DASA
fert171;02.05.2019;30;DASA
fert171;10.05.2019;40;LAD
fert172;25.02.2020;40;LAD
fert172;03.04.2020;60;DASA
fert172;16.04.2020;30;LAD
fert173;25.02.2020;40;LAD
fert173;03.04.2020;60;DASA
fert173;16.04.2020;30;LAD
fert173;13.05.2020;40;LAD
fert174;02.03.2021;30;LAD
fert174;06.04.2021;60;DASA
fert174;04.05.2021;30;LAD
fert175;02.03.2021;30;LAD
fert175;06.04.2021;60;DASA
fert175;04.05.2021;30;LAD
fert175;27.05.2021;40;LAD
fert176;24.02.2022;50;DASA
fert176;12.04.2022;50;LAD
fert176;12.05.2022;30;LAD
fert177;24.02.2022;50;DASA
fert177;12.04.2022;50;LAD
fert177;12.05.2022;30;LAD
fert177;20.05.2022;40;LAD
fert178;01.03.2023;40;DASA
fert178;21.04.2023;50;LAD
fert178;05.05.2023;30;DASA
fert179;01.03.2023;40;DASA
fert179;21.04.2023;50;LAD
fert179;05.05.2023;30;LAD
fert180;01.03.2023;40;DASA
fert180;21.04.2023;50;LAD
fert180;05.05.2023;30;DASA
fert180;12.05.2023;40;LAV
fert181;01.03.2023;40;DASA
fert181;21.04.2023;50;LAD
fert181;05.05.2023;30;LAD
fert181;12.05.2023;40;LAD
fert182;05.03.2024;50;DASA
fert182;05.04.2024;50;LAD
fert182;26.04.2024;30;LAD
fert183;05.03.2024;50;DASA
fert183;05.04.2024;50;LAD
fert183;26.04.2024;30;LAD
fert183;06.05.2024;40;LAD
fert184;08.03.2019;50;LAD
fert184;24.04.2019;20;SA
fert184;24.04.2019;10;LAD
fert185;08.03.2019;50;LAD
fert185;24.04.2019;20;SA
fert185;24.04.2019;10;LAD
fert185;07.05.2019;30;LAD
fert185;24.05.2019;40;LAD
fert186;19.02.2020;50;LAD
fert186;16.04.2020;20;SA
fert186;16.04.2020;10;LAD
fert186;28.04.2020;30;LAD
fert187;19.02.2020;50;LAD
fert187;16.04.2020;20;SA
fert187;16.04.2020;10;LAD
fert187;28.04.2020;30;LAD
fert187;19.05.2020;40;LAD
fert188;07.03.2021;50;LAV
fert188;15.04.2021;10;LAD
fert188;15.04.2021;20;DASA
fert188;28.04.2021;30;LAD
fert189;07.03.2021;50;LAV
fert189;15.04.2021;10;LAD
fert189;15.04.2021;20;DASA
fert189;28.04.2021;30;LAD
fert189;27.05.2021;40;LAD
fert190;01.03.2022;40;LAD
fert190;28.04.2022;60;DASA
fert191;01.03.2022;40;LAD
fert191;28.04.2022;60;DASA
fert191;18.05.2022;40;LAD
fert192;21.03.2023;50;LAD
fert192;04.05.2023;60;DASA
fert193;21.03.2023;50;LAD
fert193;04.05.2023;60;DASA
fert193;18.05.2023;40;LAD
fert194;04.03.2024;30;LAD
fert194;17.04.2024;60;DASA
fert195;04.03.2024;30;LAD
fert195;17.04.2024;60;DASA
fert195;29.04.2024;40;LAD
fert196;09.03.2015;35;DASA
fert196;19.03.2015;25;LAV
fert196;30.04.2015;60;LAV
fert197;09.03.2015;35;DASA
fert197;19.03.2015;25;LAV
fert197;30.04.2015;60;LAV
fert197;01.06.2015;40;LAV
fert198;25.02.2019;30;LAV
fert198;08.03.2019;20;LAV
fert198;17.04.2019;50;DASA
fert198;14.05.2019;30;LAV
fert199;25.02.2019;30;LAV
fert199;08.03.2019;20;LAV
fert199;17.04.2019;50;DASA
fert199;14.05.2019;30;LAV
fert199;21.05.2019;40;LAV
fert200;09.03.2015;36;DASA
fert200;24.03.2015;31;LAV
fert200;30.04.2015;58;LAV
fert201;09.03.2015;36;DASA
fert201;24.03.2015;31;LAV
fert201;30.04.2015;58;LAV
fert201;01.06.2015;40;LAV
fert202;07.04.2006;60;LAV
fert202;04.05.2006;60;LAV
fert203;07.04.2006;60;LAV
fert203;04.05.2006;60;LAV
fert203;09.06.2006;40;LAV
fert204;14.03.2007;30;LAD
fert204;28.03.2007;30;LAD
fert204;13.04.2007;60;LAD
fert205;14.03.2007;30;LAD
fert205;28.03.2007;30;LAD
fert205;13.04.2007;60;LAD
fert205;21.05.2007;40;LAD
fert206;25.03.2008;30;LAD
fert206;09.04.2008;30;LAD
fert206;25.04.2008;60;LAD
fert207;25.03.2008;30;LAD
fert207;09.04.2008;30;LAD
fert207;25.04.2008;60;LAD
fert207;26.05.2008;40;LAD
fert208;27.03.2009;35;LAD
fert208;10.04.2009;35;LAD
fert208;24.04.2009;60;LAD
fert209;27.03.2009;35;LAD
fert209;10.04.2009;35;LAD
fert209;24.04.2009;60;LAD
fert209;18.05.2009;40;LAD
fert210;24.03.2010;30;LAD
fert210;07.04.2010;40;LAD
fert210;04.05.2010;60;LAD
fert211;24.03.2010;30;LAD
fert211;07.04.2010;40;LAD
fert211;04.05.2010;60;LAD
fert211;04.06.2010;40;LAD
fert212;08.03.2011;30;LAD
fert212;21.03.2011;40;LAD
fert212;27.04.2011;60;LAD
fert213;08.03.2011;30;LAD
fert213;21.03.2011;40;LAD
fert213;27.04.2011;60;LAD
fert213;25.05.2011;40;LAD
fert214;05.03.2012;30;LAD
fert214;20.03.2012;40;LAD
fert214;02.05.2012;60;LAD
fert215;05.03.2012;30;LAD
fert215;20.03.2012;40;LAD
fert215;02.05.2012;60;LAD
fert215;25.05.2012;40;LAD
fert216;14.03.2013;35;LAD
fert216;15.04.2013;35;LAD
fert216;09.05.2013;60;LAD
fert217;14.03.2013;35;LAD
fert217;15.04.2013;35;LAD
fert217;09.05.2013;60;LAD
fert217;13.06.2013;40;LAD
fert218;27.02.2014;35;LAD
fert218;28.03.2014;35;LAD
fert218;14.04.2014;60;LAD
fert219;27.02.2014;35;LAD
fert219;28.03.2014;35;LAD
fert219;14.04.2014;60;LAD
fert219;30.05.2014;40;LAD
fert220;05.03.2015;35;DASA
fert220;19.03.2015;35;LAD
fert220;24.04.2015;60;LAD
fert221;05.03.2015;35;DASA
fert221;19.03.2015;35;LAD
fert221;24.04.2015;60;LAD
fert221;26.05.2015;40;LAD
fert222;07.03.2016;35;DASA
fert222;21.03.2016;35;LAD
fert222;19.04.2016;60;LAD
fert223;07.03.2016;35;DASA
fert223;21.03.2016;35;LAD
fert223;19.04.2016;60;LAD
fert223;30.05.2016;40;LAD
fert224;08.03.2017;40;LAD
fert224;24.03.2017;40;DASA
fert224;03.05.2017;60;LAD
fert225;08.03.2017;40;LAD
fert225;24.03.2017;40;DASA
fert225;03.05.2017;60;LAD
fert225;26.05.2017;40;LAD
fert226;21.03.2018;40;LAD
fert226;05.04.2018;40;DASA
fert226;02.05.2018;60;LAD
fert227;21.03.2018;40;LAD
fert227;05.04.2018;40;DASA
fert227;02.05.2018;60;LAD
fert227;11.05.2018;40;LAD
fert228;27.02.2019;35;LAD
fert228;15.03.2019;35;LAD
fert228;23.04.2019;60;DASA
fert229;27.02.2019;35;LAD
fert229;15.03.2019;35;LAD
fert229;23.04.2019;60;DASA
fert229;17.05.2019;40;LAD
fert230;05.03.2020;35;LAD
fert230;19.03.2020;35;LAD
fert230;22.04.2020;60;DASA
fert231;05.03.2020;35;LAD
fert231;19.03.2020;35;LAD
fert231;22.04.2020;60;DASA
fert231;15.05.2020;40;LAD
fert232;03.03.2021;35;LAD
fert232;18.03.2021;35;LAD
fert232;12.05.2021;60;DASA
fert233;03.03.2021;35;LAD
fert233;18.03.2021;35;LAD
fert233;12.05.2021;60;DASA
fert233;01.06.2021;40;LAD
fert234;28.02.2022;35;LAD
fert234;15.03.2022;35;LAD
fert234;04.05.2022;60;DASA
fert235;28.02.2022;35;LAD
fert235;15.03.2022;35;LAD
fert235;04.05.2022;60;DASA
fert235;19.05.2022;40;LAD
fert236;28.02.2023;35;LAD
fert236;16.03.2023;35;LAD
fert236;02.05.2023;60;DASA
fert237;28.02.2023;35;LAD
fert237;16.03.2023;35;LAD
fert237;02.05.2023;60;DASA
fert237;19.05.2023;40;LAD
fert238;28.02.2024;35;LAD
fert238;19.03.2024;35;LAD
fert238;11.04.2024;60;DASA
fert239;28.02.2024;35;LAD
fert239;19.03.2024;35;LAD
fert239;11.04.2024;60;DASA
fert239;30.04.2024;40;LAD
fert240;04.04.2006;50;LAV
fert240;21.04.2006;40;LAV
fert241;04.04.2006;50;LAV
fert241;21.04.2006;40;LAV
fert241;23.05.2006;40;LAV
fert242;08.03.2007;50;LAV
fert242;28.03.2007;50;LAV
fert243;08.03.2007;50;LAV
fert243;28.03.2007;50;LAV
fert243;20.04.2007;40;LAV
