Fertilisation_min;Date;Amount_kg_ha;Material
fert1;08.08.2005;38;DAM
fert1;13.09.2005;24;Amofos_NP
fert1;02.04.2006;40;LAV
fert1;23.04.2006;60;LAV
fert2;25.08.2006;30;Amofos_NP
fert2;12.03.2007;50;LAV
fert2;15.04.2007;40;LAV
fert3;25.02.2008;29.3;LAV
fert3;01.04.2008;54.9;LAV
fert3;25.04.2008;30.6;LAV
fert4;19.09.2008;12;Amofos_NP
fert4;21.03.2009;20.3;LAD
fert4;21.03.2009;15;SA
fert4;06.04.2009;54;LAD
fert5;21.09.2009;12;Amofos_NP
fert5;08.03.2010;54;LAV
fert5;25.03.2010;60;LAV+SA
fert5;09.05.2010;46;urea
fert6;18.09.2010;12;Amofos_NP
fert6;05.03.2011;54;LAV
fert6;28.03.2011;58;LAV+SA
fert7;05.03.2012;42;LAD
fert7;05.03.2012;5;GSH
fert7;22.03.2012;97;LAD
fert7;02.05.2012;42;urea
fert8;02.10.2012;12;Amofos_NP
fert8;14.03.2013;54;LAV
fert8;17.04.2013;56;mixed_fertilizer
fert9;29.09.2013;12;Amofos_NP
fert9;03.04.2014;54;LAV
fert9;27.04.2014;34;LAV
fert9;27.04.2014;25;SA
fert10;17.03.2015;54;LAV
fert10;21.04.2015;58;LAV+SA
fert11;23.03.2016;35;DASA
fert11;22.04.2016;50;LAV
fert11;12.05.2016;40;LAV
fert12;04.10.2016;20;Amofos_NP
fert12;02.03.2017;50;DASA
fert12;10.04.2017;51;DASA
fert13;13.03.2018;35;DASA
fert13;12.04.2018;50;LAV
fert14;04.04.2019;52;DASA
fert14;25.04.2019;54;LAD
fert15;20.02.2020;52;DASA
fert15;24.04.2020;54;LAD
fert16;16.03.2021;54;LAD
fert16;28.04.2021;56;DASA
fert17;15.02.2022;40;LAD
fert17;16.03.2022;54;LAD
fert18;04.10.2022;15;NPK+S
fert18;23.03.2023;41;LAD
fert18;27.05.2023;39;DASA
fert19;23.03.2023;41;LAD
fert19;27.05.2023;39;DASA
fert20;04.03.2024;52;DASA
fert20;04.04.2024;67;LAD
fert20;17.04.2024;40;LAD
fert21;08.08.2005;38;DAM
fert21;13.09.2005;24;Amofos_NP
fert21;02.04.2006;40;LAV
fert21;23.04.2006;60;LAV
fert21;22.05.2006;40;LAV
fert22;25.08.2006;30;Amofos_NP
fert22;12.03.2007;50;LAV
fert22;15.04.2007;40;LAV
fert22;15.05.2007;40;LAV
fert23;25.02.2008;29.3;LAV
fert23;01.04.2008;54.9;LAV
fert23;25.04.2008;30.6;LAV
fert23;25.04.2008;30.6;LAV
fert24;19.09.2008;12;Amofos_NP
fert24;21.03.2009;20.3;LAD
fert24;21.03.2009;15;SA
fert24;06.04.2009;54;LAD
fert24;20.05.2009;40;urea
fert25;21.09.2009;12;Amofos_NP
fert25;08.03.2010;54;LAV
fert25;25.03.2010;60;LAV+SA
fert25;09.05.2010;46;urea
fert25;20.05.2010;42;urea
fert26;18.09.2010;12;Amofos_NP
fert26;05.03.2011;54;LAV
fert26;28.03.2011;58;LAV+SA
fert26;25.05.2011;41;LAV
fert27;02.10.2012;12;Amofos_NP
fert27;14.03.2013;54;LAV
fert27;17.04.2013;56;mixed_fertilizer
fert27;28.05.2013;41;urea
fert28;17.03.2015;54;LAV
fert28;21.04.2015;58;LAV+SA
fert28;20.05.2015;40;urea
fert29;23.03.2016;35;DASA
fert29;22.04.2016;50;LAV
fert29;12.05.2016;40;LAV
fert29;25.05.2016;30;LAV
fert30;04.10.2016;20;Amofos_NP
fert30;02.03.2017;50;DASA
fert30;10.04.2017;51;DASA
fert30;16.05.2017;35;DASA
fert31;13.03.2018;35;DASA
fert31;12.04.2018;50;LAV
fert31;10.05.2018;40;LAV
fert32;04.04.2019;52;DASA
fert32;25.04.2019;54;LAD
fert32;11.05.2019;37;urea
fert33;20.02.2020;52;DASA
fert33;24.04.2020;54;LAD
fert33;11.05.2020;37;urea
fert34;20.02.2020;52;DASA
fert34;24.04.2020;54;urea
fert34;11.05.2020;37;urea
fert35;15.02.2022;40;LAD
fert35;16.03.2022;54;LAD
fert35;26.04.2022;26;DASA
fert36;04.10.2022;15;NPK+S
fert36;23.03.2023;41;LAD
fert36;27.05.2023;30;DASA
fert37;03.04.2006;30;LAV
fert37;18.04.2006;30;LAV
fert37;05.05.2006;50;LAV
fert38;03.04.2006;30;LAV
fert38;18.04.2006;30;LAV
fert38;05.05.2006;50;LAV
fert38;02.06.2006;40;LAV
fert39;07.03.2007;30;LAV
fert39;27.03.2007;40;LAV
fert39;13.04.2007;30;LAV
fert40;06.03.2007;30;LAV
fert40;26.03.2007;40;LAV
fert40;13.04.2007;30;LAV
fert41;07.03.2007;30;LAV
fert41;27.03.2007;40;LAV
fert41;13.04.2007;30;LAV
fert41;14.05.2007;40;LAV
fert42;06.03.2007;30;LAV
fert42;26.03.2007;40;LAV
fert42;13.04.2007;30;LAV
fert42;14.05.2007;40;LAV
fert43;07.03.2007;30;LAV
fert43;26.03.2007;40;LAV
fert43;12.04.2007;30;LAV
fert43;14.05.2007;40;LAV
fert44;06.03.2008;30;LAV
fert44;01.04.2008;30;LAV
fert44;24.04.2008;60;LAV
fert44;29.05.2008;40;LAV
fert45;06.03.2008;30;LAV
fert45;01.04.2008;30;LAV
fert45;22.04.2008;60;LAV
fert45;29.05.2008;40;LAV
fert46;06.03.2008;30;LAV
fert46;01.04.2008;30;LAV
fert46;24.04.2008;60;LAV
fert47;06.03.2008;30;LAV
fert47;01.04.2008;30;LAV
fert47;22.04.2008;60;LAV
fert48;18.03.2009;30;LAV
fert48;02.04.2009;30;LAV
fert48;22.04.2009;50;LAV
fert49;17.03.2009;30;LAV
fert49;02.04.2009;30;LAV
fert49;21.04.2009;50;LAV
fert50;18.03.2009;30;LAV
fert50;02.04.2009;30;LAV
fert50;22.04.2009;50;LAV
fert50;22.05.2009;40;LAV
fert51;17.03.2009;30;LAV
fert51;02.04.2009;30;LAV
fert51;21.04.2009;50;LAV
fert51;20.05.2009;40;LAV
fert52;12.03.2010;30;LAV
fert52;29.03.2010;40;LAV
fert52;28.04.2010;50;LAV
fert53;12.03.2010;30;LAV
fert53;29.03.2010;40;LAV
fert53;28.04.2010;50;LAV
fert53;01.06.2010;40;LAV
fert54;12.03.2010;30;LAV
fert54;29.03.2010;40;LAV
fert54;28.04.2010;50;LAV
fert54;25.05.2010;40;LAV
fert55;09.03.2011;30;LAV
fert55;25.03.2011;30;LAV
fert55;29.04.2011;40;LAV
fert56;09.03.2011;30;LAV
fert56;25.03.2011;30;LAV
fert56;29.04.2011;40;LAV
fert56;26.05.2011;40;LAV
fert57;09.03.2011;30;LAV
fert57;24.03.2011;30;LAV
fert57;27.04.2011;40;LAV
fert57;26.05.2011;40;LAV
fert58;05.03.2012;30;LAV
fert58;28.03.2012;30;LAV
fert58;03.05.2012;50;LAV
fert59;05.03.2012;30;LAV
fert59;29.03.2012;30;LAV
fert59;03.05.2012;50;LAV
fert60;05.03.2012;30;LAV
fert60;29.03.2012;30;LAV
fert60;27.04.2012;50;LAV
fert61;05.03.2012;30;LAV
fert61;28.03.2012;30;LAV
fert61;03.05.2012;50;LAV
fert61;24.05.2012;40;LAV
fert62;07.03.2012;30;LAV
fert62;29.03.2012;30;LAV
fert62;03.05.2012;50;LAV
fert62;28.05.2012;40;LAV
fert63;07.03.2012;30;LAV
fert63;30.03.2012;30;LAV
fert63;27.04.2012;50;LAV
fert63;21.05.2012;40;LAV
fert64;06.03.2013;30;LAV
fert64;26.03.2013;50;LAV
fert64;30.04.2013;60;LAV
fert65;06.03.2013;30;LAV
fert65;26.03.2013;30;LAV
fert65;30.04.2013;60;LAV
fert65;06.06.2013;40;LAV
fert66;28.02.2014;50;LAV
fert66;14.04.2014;60;LAV
fert67;27.02.2014;50;LAV
fert67;11.04.2014;60;LAV
fert68;28.02.2014;50;LAV
fert68;14.04.2014;60;LAV
fert68;23.05.2014;40;LAV
fert69;27.02.2014;50;LAV
fert69;11.04.2014;60;LAV
fert69;21.05.2014;40;LAV
fert70;03.03.2015;40;DASA
fert70;18.03.2015;30;LAV
fert70;24.04.2015;60;LAV
fert71;03.03.2015;40;DASA
fert71;20.04.2015;50;LAV
fert71;11.05.2015;40;LAV
fert72;03.03.2015;40;DASA
fert72;20.04.2015;50;LAV
fert72;07.05.2015;40;LAV
fert73;03.03.2015;40;DASA
fert73;18.03.2015;30;LAV
fert73;24.04.2015;60;LAV
fert73;22.05.2015;40;LAV
fert74;03.03.2015;40;DASA
fert74;20.04.2015;50;LAV
fert74;11.05.2015;40;LAV
fert74;25.05.2015;40;LAV
fert75;03.03.2015;40;DASA
fert75;20.04.2015;50;LAV
fert75;07.05.2015;40;LAV
fert75;22.05.2015;40;LAV
fert76;07.03.2016;40;DASA
fert76;19.04.2016;50;LAV
fert76;06.05.2016;40;LAV
fert77;07.03.2016;40;DASA
fert77;20.04.2016;50;LAV
fert77;09.05.2016;40;LAV
fert78;07.03.2016;40;DASA
fert78;19.04.2016;50;LAV
fert78;06.05.2016;40;LAV
fert79;07.03.2016;40;DASA
fert79;19.04.2016;50;LAV
fert79;09.05.2016;40;LAV
fert79;30.05.2016;40;LAV
fert80;07.03.2016;40;DASA
fert80;20.04.2016;50;LAV
fert80;09.05.2016;40;LAV
fert80;30.05.2016;40;LAV
fert81;07.03.2016;40;DASA
fert81;19.04.2016;50;LAV
fert81;06.05.2016;40;LAV
fert81;23.05.2016;40;LAV
fert82;06.03.2017;40;DASA
fert82;24.04.2017;50;LAV
fert82;10.05.2017;40;LAV
fert83;07.03.2017;30;DASA
fert83;05.05.2017;50;LAV
fert83;15.05.2017;40;LAV
fert84;06.03.2017;40;DASA
fert84;24.04.2017;50;LAV
fert84;10.05.2017;40;LAV
fert84;26.05.2017;40;LAV
fert85;07.03.2017;40;DASA
fert85;05.05.2017;50;LAV
fert85;15.05.2017;40;LAV
fert85;01.06.2017;40;LAV
fert86;08.03.2018;40;NS
fert86;18.04.2018;50;LAV
fert86;30.04.2018;40;LAV
fert87;08.03.2018;40;NS
fert87;18.04.2018;50;LAV
