iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-2.21,-0.61,1.37,2.34,96.28,1.6,2.36
1961-01-02,-2.83,-0.14,0.42,0.72,97.74,1.61,0.84
1961-01-03,-1.35,3.57,5.46,0.06,84.78,4.16,5.65
1961-01-04,1.97,5.27,9.98,2.76,89.16,3.6,7.02
1961-01-05,0.91,2.58,4.42,0.0,90.83,3.75,3.24
1961-01-06,-1.1,2.02,4.6,0.06,77.35,5.39,6.64
1961-01-07,0.8,2.12,4.09,0.01,89.51,3.03,4.39
1961-01-08,0.19,2.31,4.45,0.2,87.75,4.08,6.0
1961-01-09,-0.21,1.48,3.95,0.14,94.81,3.61,4.33
1961-01-10,-0.67,1.04,3.72,0.03,93.3,4.27,4.07
1961-01-11,-1.27,1.83,3.78,0.0,89.9,3.66,3.58
1961-01-12,-2.36,-1.45,1.7,0.07,79.39,4.4,3.77
1961-01-13,-5.88,-2.01,0.64,0.22,79.69,5.95,3.21
1961-01-14,-3.22,-0.95,1.11,0.01,77.24,1.81,3.62
1961-01-15,-2.92,-0.71,0.3,0.01,98.9,1.84,2.93
1961-01-16,-6.25,-4.05,-1.82,0.07,97.57,2.34,3.84
1961-01-17,-9.35,-6.5,-2.01,0.15,98.75,2.13,6.0
1961-01-18,-14.62,-11.95,-6.43,0.02,79.83,6.03,4.07
1961-01-19,-14.84,-7.63,-1.68,0.23,63.72,6.07,0.81
1961-01-20,-12.5,-7.13,0.09,0.15,76.39,6.09,0.5
1961-01-21,-12.5,-5.89,0.32,0.0,76.58,6.09,2.78
1961-01-22,-9.47,-4.13,-1.45,0.0,82.03,2.59,4.05
1961-01-23,-5.9,-1.88,0.27,0.0,84.31,2.54,3.3
1961-01-24,-8.15,-6.52,-1.36,0.28,93.75,2.07,3.72
1961-01-25,-10.22,-8.67,-6.42,0.37,89.27,3.59,7.75
1961-01-26,-16.28,-13.7,-9.33,0.15,83.96,6.04,2.61
1961-01-27,-18.56,-9.71,-1.5,0.22,74.9,6.91,2.12
1961-01-28,-12.55,-4.61,-0.74,0.15,65.01,7.49,7.68
1961-01-29,-6.51,-3.56,-2.44,0.0,91.0,2.5,7.64
1961-01-30,-5.82,1.16,3.4,1.6,82.39,4.77,10.71
1961-01-31,0.04,3.9,5.47,2.77,92.0,2.74,8.01
1961-02-01,0.52,2.17,4.72,7.48,90.49,2.35,3.23
1961-02-02,-1.07,1.27,4.07,0.0,84.54,5.74,2.19
1961-02-03,-0.76,1.24,2.96,0.3,90.29,3.01,2.05
1961-02-04,-1.53,0.21,2.25,0.43,84.72,6.12,2.75
