iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-9.34,-4.1,-2.19,0.01,93.11,1.72,0.75
1961-01-02,-5.32,-2.7,-0.31,0.0,92.15,2.56,0.71
1961-01-03,-4.87,-1.77,0.63,0.0,91.08,1.67,0.8
1961-01-04,-5.82,-0.87,2.39,0.0,83.1,2.2,0.58
1961-01-05,-5.0,0.45,3.56,0.0,75.44,3.89,1.18
1961-01-06,-5.26,-1.27,4.55,0.0,78.69,4.47,2.24
1961-01-07,-5.36,0.56,3.59,0.0,76.64,4.08,1.2
1961-01-08,-2.55,1.49,3.46,0.0,70.1,2.48,0.74
1961-01-09,-1.78,2.55,5.75,0.03,78.31,4.93,0.8
1961-01-10,-2.51,0.38,4.66,0.02,85.82,4.94,1.42
1961-01-11,-2.76,-0.32,0.9,0.03,89.94,1.74,1.15
1961-01-12,-9.13,-4.92,0.3,0.0,74.3,6.34,0.43
1961-01-13,-12.92,-5.41,-1.03,0.01,70.98,4.95,0.36
1961-01-14,-7.07,-3.47,0.5,0.0,79.68,4.81,0.35
1961-01-15,-7.76,-3.6,-0.48,0.02,93.68,1.88,0.67
1961-01-16,-8.13,-5.09,-2.24,0.0,94.94,1.97,0.71
1961-01-17,-9.87,-5.64,-0.9,0.0,87.61,4.29,1.15
1961-01-18,-14.29,-10.01,-3.91,0.0,66.39,6.49,1.5
1961-01-19,-16.8,-9.22,-3.57,0.01,68.35,6.2,1.5
1961-01-20,-15.8,-8.31,-1.14,0.0,64.22,6.47,0.72
1961-01-21,-12.48,-3.88,-1.9,0.03,87.02,1.97,0.36
1961-01-22,-8.61,-4.57,-0.95,0.0,92.58,2.77,1.13
1961-01-23,-9.56,-2.91,-0.88,1.97,89.79,2.03,0.73
1961-01-24,-5.38,-2.63,-1.12,1.47,95.61,2.06,0.38
1961-01-25,-6.54,-4.33,-2.09,0.04,86.16,2.09,0.83
1961-01-26,-11.42,-8.27,-4.7,0.0,81.65,2.12,1.14
1961-01-27,-18.66,-10.8,-5.03,0.01,67.48,6.42,0.42
1961-01-28,-19.76,-10.4,-4.66,0.0,78.78,5.82,1.48
1961-01-29,-13.53,1.3,7.26,0.0,77.99,6.8,0.91
1961-01-30,-1.53,5.1,7.72,0.03,66.98,2.26,1.32
1961-01-31,3.2,5.88,11.03,2.8,83.75,5.16,2.07
1961-02-01,-0.12,1.97,5.46,3.72,80.37,3.14,2.48
1961-02-02,-0.0,1.66,3.51,0.09,78.47,4.0,1.04
1961-02-03,-0.25,0.97,4.09,0.53,77.6,5.1,1.44
1961-02-04,-2.48,-0.03,1.86,2.52,85.74,4.54,1.04
1961-02-05,-5.98,-2.47,1.47,0.03,99.87,2.55,1.0
1961-02-06,-6.72,1.05,6.1,0.04,90.77,4.75,0.77
1961-02-07,-1.17,2.66,5.38,0.01,76.06,2.59,0.76
1961-02-08,0.44,2.06,5.3,4.22,80.36,5.35,2.37
1961-02-09,0.69,5.24,7.15,5.47,87.88,2.66,2.33
1961-02-10,0.99,2.81,5.66,0.0,85.28,2.7,4.1
1961-02-11,-0.91,3.92,9.11,3.02,74.28,5.09,0.99
1961-02-12,2.57,3.56,5.18,1.5,84.89,3.4,2.95
1961-02-13,-0.8,3.68,6.57,0.01,84.08,2.84,0.67
1961-02-14,1.22,3.7,9.02,0.0,91.86,3.7,0.37
1961-02-15,-1.9,2.81,11.04,0.0,79.6,6.04,0.39
1961-02-16,-2.47,4.07,10.11,0.0,82.21,6.06,0.69
1961-02-17,-1.68,2.79,12.11,0.04,84.33,9.05,0.63
1961-02-18,-3.0,0.52,6.54,0.01,86.58,4.69,0.68
1961-02-19,-3.87,2.16,6.48,4.7,88.91,5.54,0.69
1961-02-20,2.54,4.42,6.93,0.0,85.19,3.17,0.41
1961-02-21,0.85,2.55,6.03,0.0,89.17,5.79,1.67
1961-02-22,-0.52,1.7,3.65,0.02,88.3,3.34,1.17
1961-02-23,0.54,1.95,4.51,0.0,87.54,3.7,1.16
1961-02-24,-2.07,0.68,6.2,0.01,92.42,6.73,0.69
1961-02-25,-2.37,0.97,3.66,0.03,86.59,4.05,1.61
1961-02-26,-1.61,1.46,8.66,0.0,88.05,7.16,1.19
