Experiment;Name;Year;Crop;Yield;Height;Heading;Maturity
EX1;BRA;2006;SM;6510;92.19;160;
EX2;BRA;2006;SM;7270;92.02;161;
EX3;BRA;2007;SM;7220;83.32;141;
