Experiment;me;Year;Crop;Yield;Height;Heading;Maturity
EX1;Branisovice;2006;WW;6.51;92.19;160;
EX2;Branisovice;2006;WW;7.27;92.02;161;
EX3;Branisovice;2007;WW;7.22;83.32;141;
EX4;Branisovice;2007;WW;7.44;83.03;141;
EX5;Branisovice;2008;WW;11.14;103.22;147;
EX6;Branisovice;2008;WW;10.16;101.29;147;
EX7;Branisovice;2009;WW;9.82;94.16;142;
EX8;Branisovice;2009;WW;9.47;97.89;142;
EX9;Branisovice;2010;WW;8.89;88.03;150;
EX10;Branisovice;2010;WW;7.2;90.36;150;
EX11;Branisovice;2010;WW;9.09;88.32;158;
EX12;Branisovice;2010;WW;7.32;93.61;157;
EX13;Branisovice;2011;WW;10.76;;147;205
EX14;Branisovice;2011;WW;10.59;86.71;147;
EX15;Branisovice;2013;WW;7.94;93.07;155;
EX16;Branisovice;2013;WW;7.15;92.66;153;
EX17;Branisovice;2014;WW;6.11;71.42;139;
EX18;Branisovice;2014;WW;6.02;;139;
EX19;Branisovice;2015;WW;11.14;88;147;
EX20;Branisovice;2015;WW;12.6;;149;
EX21;Branisovice;2015;WW;10.58;92;148;
EX22;Branisovice;2015;WW;11.23;;147;
EX23;Branisovice;2015;WW;9.94;90;147;
EX24;Branisovice;2015;WW;10.99;;147;
EX25;Branisovice;2015;WW;10.9;100;144;
EX26;Branisovice;2015;WW;10.54;;145;
EX27;Branisovice;2015;WW;10.72;108;147;
EX28;Branisovice;2015;WW;11.04;;147;
EX29;Branisovice;2015;WW;10.86;105;146;
EX30;Branisovice;2015;WW;11.93;;146;
EX31;Branisovice;2015;WW;10.46;95;149;
EX32;Branisovice;2015;WW;10.81;;150;
EX33;Branisovice;2015;WW;10.31;102;148;
EX34;Branisovice;2015;WW;11.65;;148;
EX35;Branisovice;2015;WW;10.72;93;146;
EX36;Branisovice;2015;WW;10.91;;146;
EX37;Branisovice;2015;WW;10.61;98;148;
EX38;Branisovice;2015;WW;11.45;;146;
EX39;Branisovice;2015;WW;9.24;98.62;145;
EX40;Branisovice;2015;WW;10.84;;145;
EX41;Branisovice;2015;WW;9.77;92;150;
EX42;Branisovice;2015;WW;10.53;;148;
EX43;Branisovice;2015;WW;10.65;92;144;
EX44;Branisovice;2015;WW;12.12;;144;
EX45;Branisovice;2015;WW;10.59;115;149;
