iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-3.22,-0.69,0.25,0.02,85.99,1.44,3.5
1961-01-02,-1.79,-0.77,0.1,0.0,91.55,1.44,3.82
1961-01-03,-1.43,0.84,1.62,0.01,85.06,1.45,4.36
1961-01-04,0.08,1.26,3.14,0.92,91.66,1.47,3.32
1961-01-05,-1.11,0.82,2.0,0.02,86.59,1.66,2.88
1961-01-06,-1.83,0.29,1.95,0.48,79.43,4.24,5.77
1961-01-07,-1.17,0.77,1.51,2.77,87.11,1.51,4.64
1961-01-08,-0.85,0.45,1.27,0.71,89.84,1.53,2.86
1961-01-09,-0.34,1.09,2.18,2.57,90.82,3.37,2.81
1961-01-10,-1.12,0.58,1.86,0.23,89.64,2.02,4.75
1961-01-11,-1.62,-0.3,1.07,1.89,90.36,1.58,3.84
1961-01-12,-5.16,-3.89,-0.38,0.0,75.39,2.71,4.13
1961-01-13,-12.29,-4.57,-1.88,0.04,73.96,1.62,2.89
1961-01-14,-3.57,-1.02,0.68,2.51,75.64,1.64,2.3
1961-01-15,-6.81,-3.41,3.27,0.0,92.93,3.23,0.92
1961-01-16,-13.28,-6.53,-0.12,0.0,88.44,3.18,0.38
1961-01-17,-12.82,-8.42,0.22,0.01,87.8,5.18,0.0
1961-01-18,-17.41,-10.85,-3.65,0.03,66.31,5.98,4.3
1961-01-19,-14.45,-8.48,-2.31,0.04,56.48,6.02,4.35
1961-01-20,-11.72,-6.82,1.27,0.0,58.38,6.11,2.97
1961-01-21,-12.93,-5.7,0.03,0.0,69.36,5.06,2.31
1961-01-22,-6.59,-2.49,-0.7,0.07,89.33,1.83,3.09
1961-01-23,-5.12,-3.61,-1.09,2.62,87.32,1.87,2.53
1961-01-24,-9.3,-7.79,-1.58,0.0,92.98,1.89,1.3
1961-01-25,-13.91,-9.79,-2.83,1.09,81.64,6.05,1.15
1961-01-26,-22.17,-14.82,-2.82,1.49,74.5,6.48,0.03
1961-01-27,-20.53,-9.49,-0.26,0.03,62.66,6.67,4.26
1961-01-28,-12.72,-6.45,-2.16,0.0,69.94,6.11,7.87
1961-01-29,-9.1,-1.86,0.62,0.0,82.02,4.83,5.06
1961-01-30,-2.91,2.0,3.53,3.35,85.52,2.11,4.7
1961-01-31,1.22,3.79,5.49,6.26,91.83,2.13,2.75
1961-02-01,-0.35,1.08,3.9,4.2,90.18,2.17,1.11
1961-02-02,-0.74,0.44,2.73,1.87,86.72,3.66,4.2
1961-02-03,-1.84,-0.72,0.77,1.72,90.68,2.24,3.59
1961-02-04,-2.9,-1.05,1.49,4.29,89.75,2.85,1.83
1961-02-05,-11.29,-6.01,-0.13,0.27,99.06,4.88,2.67
1961-02-06,-12.65,-1.81,-0.22,1.39,83.53,2.36,5.39
1961-02-07,-3.33,1.26,3.68,1.37,85.49,4.22,2.18
1961-02-08,-0.43,1.0,2.72,8.58,90.45,2.44,1.98
1961-02-09,-0.63,2.66,5.12,9.52,88.64,2.49,3.82
1961-02-10,0.04,1.35,4.58,0.48,91.35,2.81,5.07
1961-02-11,0.11,2.56,4.64,6.84,84.97,3.12,0.86
1961-02-12,0.94,2.77,4.08,2.29,89.63,2.62,2.24
1961-02-13,0.3,2.37,4.47,1.88,88.87,2.67,0.47
1961-02-14,1.14,3.04,4.92,0.3,92.61,2.71,0.74
1961-02-15,0.25,1.83,5.71,0.19,95.51,2.76,0.92
1961-02-16,-0.95,3.74,5.56,0.39,88.71,2.81,0.84
1961-02-17,-0.77,1.85,7.33,0.05,91.14,6.27,1.61
1961-02-18,-2.8,0.85,6.67,0.19,92.46,7.53,1.05
1961-02-19,-1.65,1.9,4.32,1.78,96.28,2.96,0.98
1961-02-20,1.88,3.17,5.08,0.01,89.06,3.01,2.05
1961-02-21,1.09,3.33,6.17,0.0,78.59,5.42,1.84
1961-02-22,0.05,2.11,4.06,0.03,82.78,3.11,2.25
1961-02-23,0.42,2.9,4.77,0.0,79.64,3.17,3.85
1961-02-24,0.19,2.52,7.05,0.0,84.89,7.33,3.54
1961-02-25,-3.05,0.97,4.73,0.03,86.3,4.3,4.48
1961-02-26,-1.18,0.65,3.69,0.0,86.99,5.05,3.96
1961-02-27,-1.53,2.52,4.84,2.56,86.99,3.38,3.56
1961-02-28,1.4,3.69,6.2,3.15,85.81,3.44,3.75
1961-03-01,0.45,2.05,3.78,1.17,87.77,3.5,1.26
1961-03-02,-0.26,2.75,7.01,2.77,80.91,7.03,1.42
1961-03-03,0.26,3.37,5.12,7.01,89.74,3.61,0.71
1961-03-04,-0.26,1.9,5.44,0.09,94.55,3.67,1.71
1961-03-05,-2.76,4.26,10.63,0.03,76.65,9.42,1.7
1961-03-06,0.98,4.58,11.88,0.03,78.33,9.99,0.59
1961-03-07,-1.9,5.34,13.09,0.03,73.97,10.23,1.58
1961-03-08,-0.84,5.84,13.92,0.02,68.92,11.72,1.85
1961-03-09,-2.27,4.61,15.95,0.02,67.64,12.42,1.21
1961-03-10,-2.01,6.37,16.77,0.02,64.75,11.38,1.28
1961-03-11,0.45,6.89,10.87,0.02,74.11,4.27,1.74
1961-03-12,3.81,10.34,15.18,3.12,62.84,9.77,3.84
1961-03-13,5.29,6.96,12.02,4.52,76.19,8.18,6.06
1961-03-14,5.12,7.88,8.55,5.02,85.06,4.26,3.44
1961-03-15,6.49,8.64,9.93,0.44,82.94,4.71,3.55
1961-03-16,4.73,8.63,13.38,0.0,72.93,12.57,3.59
1961-03-17,0.41,9.24,17.52,0.03,66.35,12.56,1.47
1961-03-18,2.29,7.06,13.75,0.09,76.9,6.64,1.1
