iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-1.68,-0.27,1.16,0.61,92.07,2.3,1.43
1961-01-02,-1.89,-0.58,0.46,0.01,98.26,1.56,2.0
1961-01-03,-2.36,1.16,2.44,1.37,90.15,1.57,4.23
1961-01-04,0.37,2.36,5.41,0.0,90.83,1.58,2.12
1961-01-05,-1.91,1.78,3.54,0.0,83.87,1.94,3.27
1961-01-06,-1.97,1.1,3.7,0.0,79.81,5.29,3.17
1961-01-07,-1.5,1.78,4.4,1.39,85.07,3.51,3.88
1961-01-08,0.51,2.27,3.16,0.0,82.84,1.88,2.7
1961-01-09,0.2,3.41,6.37,0.72,84.46,4.91,3.85
1961-01-10,-0.22,1.89,4.82,0.07,88.06,4.79,2.49
1961-01-11,-0.39,0.92,1.94,0.01,90.75,1.69,2.01
1961-01-12,-4.81,-2.96,0.55,0.0,94.32,4.77,2.8
1961-01-13,-8.2,-3.19,-0.51,0.0,85.19,5.01,0.62
1961-01-14,-3.53,-0.34,3.14,0.88,71.89,4.2,0.71
1961-01-15,-5.05,-2.19,1.56,0.04,97.08,4.73,0.74
1961-01-16,-7.69,-5.09,-2.68,0.0,94.75,3.31,0.41
1961-01-17,-8.46,-5.46,-1.52,0.0,94.63,6.09,1.86
1961-01-18,-13.49,-8.71,-3.37,0.0,86.55,6.45,3.64
1961-01-19,-14.83,-7.64,-1.26,0.0,84.38,6.68,1.5
1961-01-20,-12.31,-5.8,1.25,0.0,79.98,6.36,0.95
1961-01-21,-12.26,-4.75,-0.25,0.0,76.52,6.59,0.58
1961-01-22,-5.21,-2.06,0.69,0.0,90.43,2.43,2.16
1961-01-23,-5.58,-2.63,-1.21,2.58,96.25,2.01,2.41
1961-01-24,-5.03,-3.53,-1.91,0.48,95.27,2.01,2.4
1961-01-25,-10.49,-6.87,-2.4,0.0,95.16,5.16,2.55
1961-01-26,-17.56,-11.53,-3.92,0.0,92.85,7.1,1.67
1961-01-27,-18.1,-9.7,-2.24,0.0,87.08,7.05,1.02
1961-01-28,-14.15,-6.67,-1.06,0.0,92.8,7.41,3.79
1961-01-29,-10.31,-2.56,3.55,0.0,87.98,4.71,3.55
1961-01-30,-4.62,2.66,4.65,4.78,78.71,2.28,5.85
1961-01-31,1.78,4.95,9.14,6.33,95.17,2.32,5.55
1961-02-01,0.74,2.11,4.26,2.45,96.33,2.5,4.87
1961-02-02,0.66,2.44,5.08,0.0,80.58,5.98,3.16
1961-02-03,0.21,1.09,3.88,0.23,92.47,4.47,3.73
1961-02-04,-0.9,0.29,3.24,3.48,90.58,4.51,3.68
1961-02-05,-5.92,-2.63,1.89,0.0,96.11,5.73,2.78
1961-02-06,-7.9,-1.13,0.73,0.15,89.83,2.48,3.03
1961-02-07,-1.71,2.22,5.08,0.0,88.18,3.34,3.73
1961-02-08,0.33,1.67,4.78,4.14,95.52,4.76,3.35
