iso-date,tmin,tavg,tmax,precip,relhumid,globrad,wind
1961-01-01,-3.29,-1.54,-0.06,0.0,99.46,1.6,2.46
1961-01-02,-2.07,-1.07,-0.17,0.0,96.88,1.58,2.78
1961-01-03,-2.07,0.43,2.16,2.11,91.3,1.6,4.21
1961-01-04,0.17,1.82,4.78,0.0,92.67,1.61,0.96
1961-01-05,-1.88,-0.61,1.86,0.34,97.58,1.69,2.68
1961-01-06,-2.44,-0.58,1.83,0.0,86.0,4.9,2.54
1961-01-07,-1.34,-0.02,1.74,6.56,91.72,1.76,2.31
1961-01-08,-0.93,0.3,2.04,2.32,93.58,1.67,1.52
1961-01-09,-0.36,1.28,3.45,1.46,90.22,2.44,3.0
1961-01-10,-1.46,0.6,2.89,0.1,89.03,4.17,2.63
1961-01-11,-2.42,-1.2,1.35,0.5,98.24,1.72,1.74
1961-01-12,-8.61,-6.19,-0.63,0.0,86.34,5.45,2.39
1961-01-13,-13.17,-6.4,-1.57,0.01,87.89,4.96,1.93
1961-01-14,-4.96,-1.04,1.32,0.91,77.15,2.13,1.99
1961-01-15,-3.84,-2.29,1.22,0.01,85.54,5.27,5.5
1961-01-16,-11.31,-4.97,-1.35,0.02,87.06,4.57,2.93
1961-01-17,-10.65,-6.82,-1.33,0.0,80.12,6.0,4.49
1961-01-18,-14.58,-11.45,-4.48,0.01,71.78,6.11,2.23
1961-01-19,-17.44,-10.42,-3.33,0.01,62.15,5.44,1.37
1961-01-20,-13.67,-8.32,-0.21,0.0,69.17,5.76,2.65
1961-01-21,-14.51,-8.23,-2.27,0.0,75.64,5.44,3.1
1961-01-22,-12.04,-5.37,-1.53,0.53,99.77,2.0,2.34
1961-01-23,-6.53,-4.27,-1.11,0.7,95.73,2.03,1.39
1961-01-24,-7.54,-6.63,-2.69,0.0,80.98,2.32,6.53
1961-01-25,-9.94,-8.81,-5.27,0.14,77.69,6.59,10.06
1961-01-26,-15.98,-11.51,-4.52,0.0,63.67,6.92,4.06
1961-01-27,-19.41,-11.13,-1.69,0.01,65.42,6.22,2.69
1961-01-28,-15.37,-7.62,-1.38,0.03,70.38,6.75,2.49
1961-01-29,-9.02,-3.45,-0.59,0.0,83.15,2.33,2.56
1961-01-30,-6.53,-0.98,1.33,13.95,85.81,2.27,1.4
1961-01-31,0.03,2.87,5.57,17.85,99.61,2.33,3.21
1961-02-01,-0.22,0.68,2.63,6.1,95.48,2.34,1.03
1961-02-02,-0.9,0.54,2.47,1.76,81.16,3.32,4.86
1961-02-03,-1.61,-0.47,1.94,0.6,84.66,3.63,1.88
1961-02-04,-3.86,-1.2,0.91,6.26,88.57,2.55,2.49
1961-02-05,-9.44,-5.8,0.09,0.0,99.79,5.96,2.61
1961-02-06,-13.27,-4.24,-1.12,2.64,91.44,2.54,1.18
1961-02-07,-3.89,0.32,2.68,1.81,84.98,2.82,2.38
1961-02-08,-2.61,1.23,3.19,4.92,80.27,3.71,1.88
1961-02-09,-1.39,1.5,3.67,10.06,96.8,2.67,2.93
1961-02-10,-0.34,1.39,3.5,0.13,87.57,3.13,3.03
1961-02-11,-0.11,1.54,4.65,5.06,94.28,2.76,2.86
1961-02-12,-0.31,1.38,4.12,2.49,98.94,2.8,2.59
1961-02-13,-0.83,1.87,5.08,0.18,91.91,3.01,2.53
1961-02-14,-0.15,1.41,3.92,0.05,99.59,2.9,0.54
1961-02-15,0.15,1.24,4.47,0.05,100.0,5.18,0.87
1961-02-16,-0.65,1.85,3.95,0.0,96.3,3.37,0.65
1961-02-17,0.18,1.5,4.33,0.0,93.73,5.92,1.32
1961-02-18,-4.65,1.86,8.41,0.12,79.16,8.54,1.87
1961-02-19,-1.04,2.09,5.23,0.06,87.62,3.9,0.84
1961-02-20,0.28,2.77,5.36,0.05,92.77,4.9,1.3
1961-02-21,1.09,2.58,5.85,0.0,88.67,6.02,0.78
1961-02-22,0.16,1.78,4.07,0.01,83.11,3.31,0.71
1961-02-23,-0.21,1.76,5.16,0.01,81.8,6.59,3.82
1961-02-24,0.68,2.07,5.86,0.01,78.59,6.87,3.42
1961-02-25,-3.0,1.66,6.62,0.01,75.96,7.75,3.0
1961-02-26,-0.78,0.47,2.65,0.01,84.51,3.67,1.43
1961-02-27,-1.19,2.11,6.03,1.99,92.46,4.4,3.26
1961-02-28,-0.12,3.39,6.81,2.09,85.27,5.52,3.27
1961-03-01,0.2,1.77,5.52,0.19,85.51,6.85,4.41
1961-03-02,-2.82,1.73,6.35,0.44,85.17,4.96,3.06
1961-03-03,-0.94,2.5,6.13,0.87,85.76,3.88,1.72
1961-03-04,-0.26,3.02,8.16,0.1,77.86,8.57,0.71
1961-03-05,-1.04,3.51,9.92,0.0,78.49,7.35,2.4
1961-03-06,-2.21,3.65,10.3,0.01,73.99,10.02,0.86
1961-03-07,-1.9,4.82,12.68,0.0,78.27,10.53,1.67
1961-03-08,-2.04,5.87,15.79,0.01,64.62,12.55,1.11
1961-03-09,-2.54,5.82,16.91,0.01,60.22,12.93,1.44
1961-03-10,-3.46,6.59,17.84,0.01,56.6,12.8,1.56
1961-03-11,-2.28,5.88,13.77,0.01,80.35,7.39,2.85
1961-03-12,-1.43,5.88,13.15,2.57,87.05,9.89,3.53
1961-03-13,4.58,6.67,11.69,1.65,76.06,9.78,3.93
1961-03-14,4.07,6.53,9.84,1.42,96.68,4.47,1.29
1961-03-15,5.93,7.65,11.97,0.0,88.79,8.42,2.93
1961-03-16,4.89,7.48,14.85,0.0,79.49,13.71,5.29
1961-03-17,-0.31,7.2,17.05,0.01,70.37,13.55,1.01
1961-03-18,-1.16,5.56,13.65,2.05,92.46,9.95,2.19
1961-03-19,-2.1,2.07,6.11,0.51,75.59,8.63,10.67
1961-03-20,-5.63,1.23,6.03,13.85,69.85,9.55,7.81
1961-03-21,-3.69,1.5,4.88,5.62,85.28,8.23,6.86
1961-03-22,-3.14,0.81,3.68,3.46,74.09,12.55,3.57
1961-03-23,-2.61,3.07,5.38,0.0,95.44,5.03,3.48
1961-03-24,1.09,5.13,8.49,0.01,84.16,5.81,1.45
1961-03-25,2.78,5.73,10.61,0.0,81.72,7.4,3.49
1961-03-26,1.27,5.52,9.0,0.0,73.25,13.3,4.76
1961-03-27,1.91,3.47,7.84,3.47,64.68,13.83,10.12
1961-03-28,-2.9,0.1,3.03,6.16,86.11,5.55,12.0
1961-03-29,-2.33,1.63,4.3,4.14,98.93,5.4,3.26
1961-03-30,0.17,3.73,7.42,17.34,99.25,5.46,4.24
1961-03-31,1.14,2.79,6.26,0.0,91.48,5.65,3.16
1961-04-01,-1.12,2.95,7.21,8.76,98.9,7.36,2.55
1961-04-02,0.27,3.06,6.04,11.25,99.16,5.75,2.33
1961-04-03,2.47,7.62,10.38,8.71,80.9,9.68,4.06
1961-04-04,4.27,8.42,11.92,4.1,82.86,7.47,2.66
1961-04-05,3.66,11.32,21.02,0.02,75.57,16.92,1.88
1961-04-06,5.52,13.22,23.96,0.14,66.8,18.91,3.09
1961-04-07,5.82,13.47,24.38,0.7,74.62,18.08,1.15
1961-04-08,7.65,10.59,17.29,6.84,85.68,10.37,2.04
1961-04-09,3.13,5.84,11.17,0.02,69.49,17.53,5.63
1961-04-10,-1.12,6.36,13.25,0.0,66.89,15.79,3.77
1961-04-11,3.03,8.77,16.2,0.0,69.1,12.34,1.91
1961-04-12,1.9,8.71,18.8,0.01,63.15,20.49,1.53
1961-04-13,2.51,12.11,22.45,0.01,67.23,19.89,2.44
1961-04-14,4.52,12.93,23.38,0.05,63.22,20.67,1.35
1961-04-15,7.33,12.52,21.9,1.99,72.95,19.66,1.86
1961-04-16,5.95,10.5,14.01,5.63,90.78,6.74,5.31
1961-04-17,4.69,10.55,17.24,0.0,79.73,15.4,2.95
1961-04-18,3.29,11.85,20.88,0.59,72.89,16.48,2.04
1961-04-19,8.66,10.98,14.75,0.01,74.59,10.76,3.71
1961-04-20,3.21,9.4,15.74,0.0,59.72,20.76,4.12
1961-04-21,2.27,10.52,17.85,0.0,56.01,22.17,3.34
1961-04-22,4.93,10.26,17.92,0.0,78.12,19.31,0.94
1961-04-23,5.98,11.33,17.13,0.0,70.21,11.65,2.73
1961-04-24,5.24,12.01,19.78,0.0,62.62,21.6,3.03
1961-04-25,4.42,8.91,14.11,0.0,72.51,21.88,6.68
1961-04-26,3.76,11.94,19.91,0.6,65.21,20.36,5.5
1961-04-27,6.64,10.77,16.41,12.51,87.35,11.09,3.61
1961-04-28,6.17,10.14,15.24,0.76,87.66,10.92,2.95
1961-04-29,5.84,10.66,16.42,2.07,85.03,12.93,2.7
1961-04-30,6.87,12.39,20.35,7.81,76.26,22.21,3.27
1961-05-01,7.51,12.08,17.87,5.98,83.15,13.97,2.16
1961-05-02,8.13,11.94,18.47,1.71,81.07,14.56,2.74
1961-05-03,7.44,10.76,16.97,3.97,90.05,13.86,2.8
1961-05-04,4.75,11.43,19.48,0.1,78.81,19.19,1.79
1961-05-05,5.11,13.7,21.84,0.68,83.07,13.26,2.15
1961-05-06,11.27,13.54,17.96,1.08,87.5,10.76,2.29
1961-05-07,8.42,11.58,17.13,4.65,81.7,12.86,2.55
1961-05-08,6.23,10.2,15.89,10.94,73.06,15.44,2.31
1961-05-09,4.23,8.67,13.06,15.77,81.58,8.45,2.91
1961-05-10,3.74,6.78,11.25,2.67,88.97,12.52,4.35
1961-05-11,3.14,8.03,12.63,2.91,75.23,15.2,2.17
1961-05-12,3.56,7.81,11.37,0.94,74.12,13.47,2.78
1961-05-13,-0.21,7.12,12.41,2.15,89.78,8.25,2.54
1961-05-14,2.05,7.84,13.77,0.15,70.76,22.57,2.37
1961-05-15,1.94,7.47,12.71,0.0,77.01,12.41,2.6
1961-05-16,0.52,8.58,14.91,4.04,77.3,14.72,2.11
1961-05-17,4.62,7.63,11.0,0.52,87.15,11.39,2.23
1961-05-18,3.92,9.13,14.38,0.0,70.47,19.57,7.88
1961-05-19,4.6,10.38,15.14,0.85,71.19,8.6,2.13
1961-05-20,5.29,11.36,16.94,0.75,74.41,15.39,2.11
1961-05-21,4.29,11.41,17.91,4.42,79.44,12.88,2.47
1961-05-22,4.81,11.14,17.0,0.0,77.19,19.67,5.32
1961-05-23,2.83,10.69,16.99,0.0,67.2,11.76,2.57
1961-05-24,5.99,14.41,20.38,0.02,66.73,20.01,1.61
1961-05-25,5.26,16.12,22.75,0.0,55.39,24.74,2.38
1961-05-26,7.25,15.27,23.73,0.21,68.16,21.9,2.57
1961-05-27,9.89,13.7,21.5,9.64,85.22,18.26,2.83
1961-05-28,6.45,7.9,11.73,5.79,94.61,8.35,4.12
1961-05-29,5.11,7.43,9.69,16.9,99.39,8.32,6.51
1961-05-30,5.77,8.01,10.3,1.81,94.32,8.31,2.2
1961-05-31,6.21,11.61,17.67,0.01,72.52,13.74,2.5
1961-06-01,5.37,17.4,25.94,0.0,72.38,25.35,1.9
1961-06-02,12.25,17.08,24.72,0.0,66.36,26.09,5.67
1961-06-03,11.61,16.79,22.63,3.49,75.42,15.91,2.76
1961-06-04,11.33,17.61,23.37,15.09,83.22,14.26,2.58
1961-06-05,13.2,16.95,23.74,4.19,86.64,14.89,4.21
1961-06-06,12.26,17.06,24.01,0.53,77.96,16.28,2.31
